Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 1236847 found at 1s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 1236847 found at 1s
Seconds: 3, Iteration: 30, Iteration per second: 10.000000, Best solution: 1239836 found at 3s
Seconds: 3, Iteration: 40, Iteration per second: 13.333333, Best solution: 1245315 found at 3s
Seconds: 3, Iteration: 50, Iteration per second: 16.666667, Best solution: 1245994 found at 3s
Seconds: 4, Iteration: 60, Iteration per second: 15.000000, Best solution: 1250761 found at 4s
Seconds: 4, Iteration: 70, Iteration per second: 17.500000, Best solution: 1250761 found at 4s
Seconds: 4, Iteration: 80, Iteration per second: 20.000000, Best solution: 1250761 found at 4s
Seconds: 4, Iteration: 90, Iteration per second: 22.500000, Best solution: 1252050 found at 4s
Seconds: 5, Iteration: 100, Iteration per second: 20.000000, Best solution: 1254754 found at 4s
Seconds: 5, Iteration: 110, Iteration per second: 22.000000, Best solution: 1262615 found at 5s
Seconds: 5, Iteration: 120, Iteration per second: 24.000000, Best solution: 1263037 found at 5s
Seconds: 5, Iteration: 130, Iteration per second: 26.000000, Best solution: 1264147 found at 5s
Seconds: 5, Iteration: 140, Iteration per second: 28.000000, Best solution: 1269795 found at 5s
Seconds: 6, Iteration: 150, Iteration per second: 25.000000, Best solution: 1272885 found at 6s
Seconds: 6, Iteration: 160, Iteration per second: 26.666667, Best solution: 1273522 found at 6s
Seconds: 6, Iteration: 170, Iteration per second: 28.333333, Best solution: 1273522 found at 6s
Seconds: 6, Iteration: 180, Iteration per second: 30.000000, Best solution: 1274412 found at 6s
Seconds: 7, Iteration: 190, Iteration per second: 27.142857, Best solution: 1274412 found at 6s
Seconds: 7, Iteration: 200, Iteration per second: 28.571429, Best solution: 1274412 found at 6s
Seconds: 7, Iteration: 210, Iteration per second: 30.000000, Best solution: 1274688 found at 7s
Seconds: 7, Iteration: 220, Iteration per second: 31.428571, Best solution: 1274688 found at 7s
Seconds: 8, Iteration: 230, Iteration per second: 28.750000, Best solution: 1274688 found at 7s
Seconds: 8, Iteration: 240, Iteration per second: 30.000000, Best solution: 1279688 found at 8s
Seconds: 8, Iteration: 250, Iteration per second: 31.250000, Best solution: 1280850 found at 8s
Seconds: 8, Iteration: 260, Iteration per second: 32.500000, Best solution: 1281917 found at 8s
Seconds: 8, Iteration: 270, Iteration per second: 33.750000, Best solution: 1281917 found at 8s
Seconds: 9, Iteration: 280, Iteration per second: 31.111111, Best solution: 1281917 found at 8s
Seconds: 9, Iteration: 290, Iteration per second: 32.222222, Best solution: 1281917 found at 8s
Seconds: 9, Iteration: 300, Iteration per second: 33.333333, Best solution: 1281917 found at 8s
Seconds: 9, Iteration: 310, Iteration per second: 34.444444, Best solution: 1282243 found at 9s
Seconds: 10, Iteration: 320, Iteration per second: 32.000000, Best solution: 1282243 found at 9s
Seconds: 10, Iteration: 330, Iteration per second: 33.000000, Best solution: 1282316 found at 10s
Seconds: 10, Iteration: 340, Iteration per second: 34.000000, Best solution: 1282316 found at 10s
Seconds: 10, Iteration: 350, Iteration per second: 35.000000, Best solution: 1283516 found at 10s
Seconds: 10, Iteration: 360, Iteration per second: 36.000000, Best solution: 1283516 found at 10s
Seconds: 11, Iteration: 370, Iteration per second: 33.636364, Best solution: 1283516 found at 10s
Seconds: 11, Iteration: 380, Iteration per second: 34.545455, Best solution: 1284567 found at 11s
Seconds: 11, Iteration: 390, Iteration per second: 35.454545, Best solution: 1284567 found at 11s
Seconds: 11, Iteration: 400, Iteration per second: 36.363636, Best solution: 1284567 found at 11s
Seconds: 11, Iteration: 410, Iteration per second: 37.272727, Best solution: 1284567 found at 11s
Seconds: 12, Iteration: 420, Iteration per second: 35.000000, Best solution: 1285362 found at 12s
Seconds: 12, Iteration: 430, Iteration per second: 35.833333, Best solution: 1285362 found at 12s
Seconds: 12, Iteration: 440, Iteration per second: 36.666667, Best solution: 1285362 found at 12s
Seconds: 12, Iteration: 450, Iteration per second: 37.500000, Best solution: 1285362 found at 12s
Seconds: 12, Iteration: 460, Iteration per second: 38.333333, Best solution: 1285362 found at 12s
Seconds: 13, Iteration: 470, Iteration per second: 36.153846, Best solution: 1285362 found at 12s
Seconds: 13, Iteration: 480, Iteration per second: 36.923077, Best solution: 1285362 found at 12s
Seconds: 13, Iteration: 490, Iteration per second: 37.692308, Best solution: 1285362 found at 12s
Seconds: 13, Iteration: 500, Iteration per second: 38.461538, Best solution: 1285362 found at 12s
Seconds: 13, Iteration: 510, Iteration per second: 39.230769, Best solution: 1285362 found at 12s
Seconds: 14, Iteration: 520, Iteration per second: 37.142857, Best solution: 1287784 found at 13s
Seconds: 14, Iteration: 530, Iteration per second: 37.857143, Best solution: 1287784 found at 13s
Seconds: 14, Iteration: 540, Iteration per second: 38.571429, Best solution: 1287784 found at 13s
Seconds: 14, Iteration: 550, Iteration per second: 39.285714, Best solution: 1288114 found at 14s
Seconds: 14, Iteration: 560, Iteration per second: 40.000000, Best solution: 1288114 found at 14s
Seconds: 15, Iteration: 570, Iteration per second: 38.000000, Best solution: 1290917 found at 15s
Seconds: 15, Iteration: 580, Iteration per second: 38.666667, Best solution: 1290990 found at 15s
Seconds: 15, Iteration: 590, Iteration per second: 39.333333, Best solution: 1291231 found at 15s
Seconds: 15, Iteration: 600, Iteration per second: 40.000000, Best solution: 1291234 found at 15s
Seconds: 15, Iteration: 610, Iteration per second: 40.666667, Best solution: 1291234 found at 15s
Seconds: 16, Iteration: 620, Iteration per second: 38.750000, Best solution: 1291234 found at 15s
Seconds: 16, Iteration: 630, Iteration per second: 39.375000, Best solution: 1291234 found at 15s
