Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 615700 found at 1s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 617883 found at 1s
Seconds: 2, Iteration: 30, Iteration per second: 15.000000, Best solution: 619615 found at 2s
Seconds: 2, Iteration: 40, Iteration per second: 20.000000, Best solution: 619706 found at 2s
Seconds: 3, Iteration: 50, Iteration per second: 16.666667, Best solution: 620556 found at 2s
Seconds: 3, Iteration: 60, Iteration per second: 20.000000, Best solution: 620896 found at 3s
Seconds: 3, Iteration: 70, Iteration per second: 23.333333, Best solution: 624374 found at 3s
Seconds: 3, Iteration: 80, Iteration per second: 26.666667, Best solution: 624374 found at 3s
Seconds: 4, Iteration: 90, Iteration per second: 22.500000, Best solution: 624374 found at 3s
Seconds: 4, Iteration: 100, Iteration per second: 25.000000, Best solution: 624374 found at 3s
Seconds: 4, Iteration: 110, Iteration per second: 27.500000, Best solution: 624374 found at 3s
Seconds: 4, Iteration: 120, Iteration per second: 30.000000, Best solution: 624374 found at 3s
Seconds: 5, Iteration: 130, Iteration per second: 26.000000, Best solution: 624374 found at 3s
Seconds: 5, Iteration: 140, Iteration per second: 28.000000, Best solution: 624374 found at 3s
Seconds: 5, Iteration: 150, Iteration per second: 30.000000, Best solution: 625192 found at 5s
Seconds: 5, Iteration: 160, Iteration per second: 32.000000, Best solution: 625192 found at 5s
Seconds: 6, Iteration: 170, Iteration per second: 28.333333, Best solution: 625192 found at 5s
Seconds: 6, Iteration: 180, Iteration per second: 30.000000, Best solution: 626126 found at 6s
Seconds: 6, Iteration: 190, Iteration per second: 31.666667, Best solution: 626126 found at 6s
Seconds: 6, Iteration: 200, Iteration per second: 33.333333, Best solution: 626126 found at 6s
Seconds: 6, Iteration: 210, Iteration per second: 35.000000, Best solution: 626126 found at 6s
Seconds: 6, Iteration: 220, Iteration per second: 36.666667, Best solution: 626126 found at 6s
Seconds: 6, Iteration: 230, Iteration per second: 38.333333, Best solution: 626126 found at 6s
Seconds: 6, Iteration: 240, Iteration per second: 40.000000, Best solution: 626126 found at 6s
Seconds: 7, Iteration: 250, Iteration per second: 35.714286, Best solution: 626126 found at 6s
Seconds: 7, Iteration: 260, Iteration per second: 37.142857, Best solution: 626126 found at 6s
Seconds: 7, Iteration: 270, Iteration per second: 38.571429, Best solution: 626126 found at 6s
Seconds: 7, Iteration: 280, Iteration per second: 40.000000, Best solution: 626126 found at 6s
Seconds: 7, Iteration: 290, Iteration per second: 41.428571, Best solution: 626452 found at 7s
Seconds: 7, Iteration: 300, Iteration per second: 42.857143, Best solution: 626452 found at 7s
Seconds: 7, Iteration: 310, Iteration per second: 44.285714, Best solution: 626452 found at 7s
Seconds: 7, Iteration: 320, Iteration per second: 45.714286, Best solution: 626452 found at 7s
Seconds: 8, Iteration: 330, Iteration per second: 41.250000, Best solution: 626455 found at 8s
Seconds: 8, Iteration: 340, Iteration per second: 42.500000, Best solution: 626455 found at 8s
Seconds: 8, Iteration: 350, Iteration per second: 43.750000, Best solution: 626455 found at 8s
Seconds: 8, Iteration: 360, Iteration per second: 45.000000, Best solution: 626455 found at 8s
Seconds: 8, Iteration: 370, Iteration per second: 46.250000, Best solution: 626581 found at 8s
Seconds: 8, Iteration: 380, Iteration per second: 47.500000, Best solution: 626581 found at 8s
Seconds: 8, Iteration: 390, Iteration per second: 48.750000, Best solution: 626581 found at 8s
Seconds: 8, Iteration: 400, Iteration per second: 50.000000, Best solution: 626581 found at 8s
Seconds: 9, Iteration: 410, Iteration per second: 45.555556, Best solution: 626581 found at 8s
Seconds: 9, Iteration: 420, Iteration per second: 46.666667, Best solution: 626581 found at 8s
Seconds: 9, Iteration: 430, Iteration per second: 47.777778, Best solution: 626581 found at 8s
Seconds: 9, Iteration: 440, Iteration per second: 48.888889, Best solution: 626815 found at 9s
Seconds: 9, Iteration: 450, Iteration per second: 50.000000, Best solution: 626815 found at 9s
Seconds: 9, Iteration: 460, Iteration per second: 51.111111, Best solution: 626815 found at 9s
Seconds: 9, Iteration: 470, Iteration per second: 52.222222, Best solution: 626815 found at 9s
Seconds: 10, Iteration: 480, Iteration per second: 48.000000, Best solution: 626815 found at 9s
Seconds: 10, Iteration: 490, Iteration per second: 49.000000, Best solution: 627005 found at 10s
Seconds: 10, Iteration: 500, Iteration per second: 50.000000, Best solution: 627005 found at 10s
Seconds: 10, Iteration: 510, Iteration per second: 51.000000, Best solution: 627005 found at 10s
Seconds: 10, Iteration: 520, Iteration per second: 52.000000, Best solution: 627005 found at 10s
Seconds: 10, Iteration: 530, Iteration per second: 53.000000, Best solution: 627005 found at 10s
Seconds: 10, Iteration: 540, Iteration per second: 54.000000, Best solution: 627005 found at 10s
Seconds: 10, Iteration: 550, Iteration per second: 55.000000, Best solution: 627008 found at 10s
Seconds: 11, Iteration: 560, Iteration per second: 50.909091, Best solution: 627008 found at 10s
Seconds: 11, Iteration: 570, Iteration per second: 51.818182, Best solution: 627008 found at 10s
Seconds: 11, Iteration: 580, Iteration per second: 52.727273, Best solution: 627008 found at 10s
Seconds: 11, Iteration: 590, Iteration per second: 53.636364, Best solution: 627008 found at 10s
Seconds: 11, Iteration: 600, Iteration per second: 54.545455, Best solution: 627073 found at 11s
Seconds: 11, Iteration: 610, Iteration per second: 55.454545, Best solution: 627073 found at 11s
Seconds: 11, Iteration: 620, Iteration per second: 56.363636, Best solution: 627073 found at 11s
Seconds: 11, Iteration: 630, Iteration per second: 57.272727, Best solution: 627602 found at 11s
Seconds: 12, Iteration: 640, Iteration per second: 53.333333, Best solution: 627602 found at 11s
Seconds: 12, Iteration: 650, Iteration per second: 54.166667, Best solution: 627602 found at 11s
Seconds: 12, Iteration: 660, Iteration per second: 55.000000, Best solution: 627602 found at 11s
Seconds: 12, Iteration: 670, Iteration per second: 55.833333, Best solution: 627602 found at 11s
Seconds: 12, Iteration: 680, Iteration per second: 56.666667, Best solution: 627603 found at 12s
Seconds: 12, Iteration: 690, Iteration per second: 57.500000, Best solution: 627603 found at 12s
Seconds: 12, Iteration: 700, Iteration per second: 58.333333, Best solution: 627603 found at 12s
Seconds: 12, Iteration: 710, Iteration per second: 59.166667, Best solution: 628342 found at 12s
Seconds: 13, Iteration: 720, Iteration per second: 55.384615, Best solution: 628342 found at 12s
Seconds: 13, Iteration: 730, Iteration per second: 56.153846, Best solution: 628342 found at 12s
Seconds: 13, Iteration: 740, Iteration per second: 56.923077, Best solution: 628342 found at 12s
Seconds: 13, Iteration: 750, Iteration per second: 57.692308, Best solution: 628342 found at 12s
Seconds: 13, Iteration: 760, Iteration per second: 58.461538, Best solution: 628342 found at 12s
Seconds: 13, Iteration: 770, Iteration per second: 59.230769, Best solution: 628342 found at 12s
Seconds: 13, Iteration: 780, Iteration per second: 60.000000, Best solution: 628342 found at 12s
Seconds: 13, Iteration: 790, Iteration per second: 60.769231, Best solution: 628342 found at 12s
Seconds: 13, Iteration: 800, Iteration per second: 61.538462, Best solution: 628342 found at 12s
Seconds: 14, Iteration: 810, Iteration per second: 57.857143, Best solution: 628342 found at 12s
Seconds: 14, Iteration: 820, Iteration per second: 58.571429, Best solution: 628342 found at 12s
Seconds: 14, Iteration: 830, Iteration per second: 59.285714, Best solution: 628342 found at 12s
Seconds: 14, Iteration: 840, Iteration per second: 60.000000, Best solution: 628342 found at 12s
Seconds: 14, Iteration: 850, Iteration per second: 60.714286, Best solution: 628824 found at 14s
Seconds: 14, Iteration: 860, Iteration per second: 61.428571, Best solution: 628824 found at 14s
Seconds: 14, Iteration: 870, Iteration per second: 62.142857, Best solution: 628824 found at 14s
Seconds: 14, Iteration: 880, Iteration per second: 62.857143, Best solution: 628824 found at 14s
