Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 1, Total Iterations: 100, Iteration per second: 100.000000, Best solution: 801037 found at 1s
Seconds: 13, Total Iterations: 19300, Iteration per second: 1484.615385, Best solution: 811846 found at 6s
Seconds: 13, Total Iterations: 19400, Iteration per second: 1492.307692, Best solution: 811846 found at 6s
Seconds: 13, Total Iterations: 19500, Iteration per second: 1500.000000, Best solution: 811846 found at 6s
Seconds: 13, Total Iterations: 19600, Iteration per second: 1507.692308, Best solution: 811846 found at 6s
Seconds: 13, Total Iterations: 19700, Iteration per second: 1515.384615, Best solution: 811846 found at 6s
Seconds: 13, Total Iterations: 19800, Iteration per second: 1523.076923, Best solution: 811846 found at 6s
Seconds: 13, Total Iterations: 19900, Iteration per second: 1530.769231, Best solution: 811846 found at 6s
Seconds: 13, Total Iterations: 20000, Iteration per second: 1538.461538, Best solution: 811846 found at 6s
Seconds: 13, Total Iterations: 20100, Iteration per second: 1546.153846, Best solution: 811846 found at 6s
Seconds: 13, Total Iterations: 20200, Iteration per second: 1553.846154, Best solution: 811846 found at 6s
Seconds: 13, Total Iterations: 20300, Iteration per second: 1561.538462, Best solution: 811846 found at 6s
Seconds: 13, Total Iterations: 20400, Iteration per second: 1569.230769, Best solution: 811846 found at 6s
Seconds: 13, Total Iterations: 20500, Iteration per second: 1576.923077, Best solution: 811846 found at 6s
Seconds: 13, Total Iterations: 20600, Iteration per second: 1584.615385, Best solution: 811846 found at 6s
Seconds: 14, Total Iterations: 20700, Iteration per second: 1478.571429, Best solution: 811846 found at 6s
Seconds: 14, Total Iterations: 20800, Iteration per second: 1485.714286, Best solution: 811846 found at 6s
Seconds: 14, Total Iterations: 20900, Iteration per second: 1492.857143, Best solution: 811846 found at 6s
Seconds: 14, Total Iterations: 21000, Iteration per second: 1500.000000, Best solution: 811846 found at 6s
Seconds: 14, Total Iterations: 21100, Iteration per second: 1507.142857, Best solution: 811846 found at 6s
Seconds: 14, Total Iterations: 21200, Iteration per second: 1514.285714, Best solution: 811846 found at 6s
Seconds: 14, Total Iterations: 21300, Iteration per second: 1521.428571, Best solution: 811846 found at 6s
Seconds: 14, Total Iterations: 21400, Iteration per second: 1528.571429, Best solution: 811846 found at 6s
Seconds: 14, Total Iterations: 21500, Iteration per second: 1535.714286, Best solution: 811846 found at 6s
Seconds: 14, Total Iterations: 21600, Iteration per second: 1542.857143, Best solution: 811846 found at 6s
Seconds: 14, Total Iterations: 21700, Iteration per second: 1550.000000, Best solution: 811846 found at 6s
Seconds: 14, Total Iterations: 21800, Iteration per second: 1557.142857, Best solution: 811846 found at 6s
Seconds: 14, Total Iterations: 21900, Iteration per second: 1564.285714, Best solution: 811846 found at 6s
Seconds: 14, Total Iterations: 22000, Iteration per second: 1571.428571, Best solution: 811846 found at 6s
Seconds: 14, Total Iterations: 22100, Iteration per second: 1578.571429, Best solution: 811846 found at 6s
Seconds: 14, Total Iterations: 22200, Iteration per second: 1585.714286, Best solution: 811846 found at 6s
Seconds: 14, Total Iterations: 22300, Iteration per second: 1592.857143, Best solution: 811846 found at 6s
Seconds: 14, Total Iterations: 22400, Iteration per second: 1600.000000, Best solution: 811846 found at 6s
Seconds: 15, Total Iterations: 22500, Iteration per second: 1500.000000, Best solution: 811846 found at 6s
Seconds: 15, Total Iterations: 22600, Iteration per second: 1506.666667, Best solution: 811846 found at 6s
Seconds: 15, Total Iterations: 22700, Iteration per second: 1513.333333, Best solution: 811846 found at 6s
Seconds: 15, Total Iterations: 22800, Iteration per second: 1520.000000, Best solution: 811846 found at 6s
Seconds: 15, Total Iterations: 22900, Iteration per second: 1526.666667, Best solution: 811846 found at 6s
Seconds: 15, Total Iterations: 23000, Iteration per second: 1533.333333, Best solution: 811846 found at 6s
Seconds: 15, Total Iterations: 23100, Iteration per second: 1540.000000, Best solution: 811846 found at 6s
Seconds: 15, Total Iterations: 23200, Iteration per second: 1546.666667, Best solution: 811846 found at 6s
Seconds: 15, Total Iterations: 23300, Iteration per second: 1553.333333, Best solution: 811846 found at 6s
Seconds: 15, Total Iterations: 23400, Iteration per second: 1560.000000, Best solution: 811846 found at 6s
Seconds: 15, Total Iterations: 23500, Iteration per second: 1566.666667, Best solution: 811846 found at 6s
Seconds: 15, Total Iterations: 23600, Iteration per second: 1573.333333, Best solution: 811846 found at 6s
Seconds: 15, Total Iterations: 23700, Iteration per second: 1580.000000, Best solution: 811846 found at 6s
Seconds: 15, Total Iterations: 23800, Iteration per second: 1586.666667, Best solution: 811846 found at 6s
Seconds: 15, Total Iterations: 23900, Iteration per second: 1593.333333, Best solution: 811846 found at 6s
Seconds: 15, Total Iterations: 24000, Iteration per second: 1600.000000, Best solution: 811846 found at 6s
Seconds: 15, Total Iterations: 24100, Iteration per second: 1606.666667, Best solution: 811846 found at 6s
Seconds: 16, Total Iterations: 24200, Iteration per second: 1512.500000, Best solution: 811846 found at 6s
Seconds: 16, Total Iterations: 24300, Iteration per second: 1518.750000, Best solution: 811846 found at 6s
Seconds: 16, Total Iterations: 24400, Iteration per second: 1525.000000, Best solution: 811846 found at 6s
Seconds: 16, Total Iterations: 24500, Iteration per second: 1531.250000, Best solution: 811846 found at 6s
Seconds: 16, Total Iterations: 24600, Iteration per second: 1537.500000, Best solution: 812576 found at 16s
Seconds: 16, Total Iterations: 24700, Iteration per second: 1543.750000, Best solution: 812576 found at 16s
Seconds: 16, Total Iterations: 24800, Iteration per second: 1550.000000, Best solution: 812576 found at 16s
Seconds: 16, Total Iterations: 24900, Iteration per second: 1556.250000, Best solution: 812576 found at 16s
Seconds: 16, Total Iterations: 25000, Iteration per second: 1562.500000, Best solution: 812576 found at 16s
Seconds: 16, Total Iterations: 25100, Iteration per second: 1568.750000, Best solution: 812576 found at 16s
Seconds: 16, Total Iterations: 25200, Iteration per second: 1575.000000, Best solution: 812576 found at 16s
Seconds: 16, Total Iterations: 25300, Iteration per second: 1581.250000, Best solution: 812576 found at 16s
Seconds: 16, Total Iterations: 25400, Iteration per second: 1587.500000, Best solution: 812576 found at 16s
Seconds: 16, Total Iterations: 25500, Iteration per second: 1593.750000, Best solution: 812576 found at 16s
Seconds: 16, Total Iterations: 25600, Iteration per second: 1600.000000, Best solution: 812576 found at 16s
Seconds: 16, Total Iterations: 25700, Iteration per second: 1606.250000, Best solution: 812576 found at 16s
Seconds: 16, Total Iterations: 25800, Iteration per second: 1612.500000, Best solution: 812576 found at 16s
Seconds: 17, Total Iterations: 25900, Iteration per second: 1523.529412, Best solution: 812577 found at 16s
Seconds: 17, Total Iterations: 26000, Iteration per second: 1529.411765, Best solution: 812577 found at 16s
Seconds: 17, Total Iterations: 26100, Iteration per second: 1535.294118, Best solution: 812577 found at 16s
Seconds: 17, Total Iterations: 26200, Iteration per second: 1541.176471, Best solution: 812577 found at 16s
Seconds: 17, Total Iterations: 26300, Iteration per second: 1547.058824, Best solution: 812577 found at 16s
Seconds: 17, Total Iterations: 26400, Iteration per second: 1552.941176, Best solution: 812577 found at 16s
Seconds: 17, Total Iterations: 26500, Iteration per second: 1558.823529, Best solution: 812577 found at 16s
Seconds: 17, Total Iterations: 26600, Iteration per second: 1564.705882, Best solution: 812577 found at 16s
Seconds: 17, Total Iterations: 26700, Iteration per second: 1570.588235, Best solution: 812577 found at 16s
Seconds: 17, Total Iterations: 26800, Iteration per second: 1576.470588, Best solution: 812577 found at 16s
Seconds: 17, Total Iterations: 26900, Iteration per second: 1582.352941, Best solution: 812577 found at 16s
Seconds: 17, Total Iterations: 27000, Iteration per second: 1588.235294, Best solution: 812577 found at 16s
Seconds: 17, Total Iterations: 27100, Iteration per second: 1594.117647, Best solution: 812577 found at 16s
Seconds: 17, Total Iterations: 27200, Iteration per second: 1600.000000, Best solution: 812577 found at 16s
Seconds: 17, Total Iterations: 27300, Iteration per second: 1605.882353, Best solution: 812577 found at 16s
Seconds: 17, Total Iterations: 27400, Iteration per second: 1611.764706, Best solution: 812577 found at 16s
Seconds: 17, Total Iterations: 27500, Iteration per second: 1617.647059, Best solution: 812577 found at 16s
Seconds: 18, Total Iterations: 27600, Iteration per second: 1533.333333, Best solution: 812577 found at 16s
Seconds: 18, Total Iterations: 27700, Iteration per second: 1538.888889, Best solution: 812577 found at 16s
Seconds: 18, Total Iterations: 27800, Iteration per second: 1544.444444, Best solution: 812577 found at 16s
Seconds: 18, Total Iterations: 27900, Iteration per second: 1550.000000, Best solution: 812577 found at 16s
Seconds: 18, Total Iterations: 28000, Iteration per second: 1555.555556, Best solution: 812577 found at 16s
Seconds: 18, Total Iterations: 28100, Iteration per second: 1561.111111, Best solution: 812577 found at 16s
Seconds: 18, Total Iterations: 28200, Iteration per second: 1566.666667, Best solution: 812577 found at 16s
Seconds: 18, Total Iterations: 28300, Iteration per second: 1572.222222, Best solution: 812577 found at 16s
Seconds: 18, Total Iterations: 28400, Iteration per second: 1577.777778, Best solution: 812577 found at 16s
Seconds: 18, Total Iterations: 28500, Iteration per second: 1583.333333, Best solution: 812577 found at 16s
Seconds: 18, Total Iterations: 28600, Iteration per second: 1588.888889, Best solution: 812577 found at 16s
Seconds: 18, Total Iterations: 28700, Iteration per second: 1594.444444, Best solution: 812577 found at 16s
Seconds: 18, Total Iterations: 28800, Iteration per second: 1600.000000, Best solution: 812577 found at 16s
Seconds: 18, Total Iterations: 28900, Iteration per second: 1605.555556, Best solution: 812577 found at 16s
Seconds: 18, Total Iterations: 29000, Iteration per second: 1611.111111, Best solution: 812577 found at 16s
