Running GRASP algorithm...
Seconds: 0, Iteration: 10, Iteration per second: Infinity, Best solution: 905360 found at 0s
Seconds: 1, Iteration: 20, Iteration per second: 20.000000, Best solution: 948583 found at 0s
Seconds: 1, Iteration: 30, Iteration per second: 30.000000, Best solution: 1001289 found at 1s
Seconds: 1, Iteration: 40, Iteration per second: 40.000000, Best solution: 1001289 found at 1s
Seconds: 2, Iteration: 50, Iteration per second: 25.000000, Best solution: 1006029 found at 1s
Seconds: 2, Iteration: 60, Iteration per second: 30.000000, Best solution: 1022443 found at 2s
Seconds: 2, Iteration: 70, Iteration per second: 35.000000, Best solution: 1037999 found at 2s
Seconds: 2, Iteration: 80, Iteration per second: 40.000000, Best solution: 1055768 found at 2s
Seconds: 2, Iteration: 90, Iteration per second: 45.000000, Best solution: 1060509 found at 2s
Seconds: 3, Iteration: 100, Iteration per second: 33.333333, Best solution: 1065349 found at 3s
Seconds: 3, Iteration: 110, Iteration per second: 36.666667, Best solution: 1065349 found at 3s
Seconds: 3, Iteration: 120, Iteration per second: 40.000000, Best solution: 1065349 found at 3s
Seconds: 3, Iteration: 130, Iteration per second: 43.333333, Best solution: 1071568 found at 3s
Seconds: 3, Iteration: 140, Iteration per second: 46.666667, Best solution: 1071568 found at 3s
Seconds: 3, Iteration: 150, Iteration per second: 50.000000, Best solution: 1075314 found at 3s
Seconds: 4, Iteration: 160, Iteration per second: 40.000000, Best solution: 1075314 found at 3s
Seconds: 4, Iteration: 170, Iteration per second: 42.500000, Best solution: 1079280 found at 4s
Seconds: 4, Iteration: 180, Iteration per second: 45.000000, Best solution: 1079280 found at 4s
Seconds: 4, Iteration: 190, Iteration per second: 47.500000, Best solution: 1079280 found at 4s
Seconds: 4, Iteration: 200, Iteration per second: 50.000000, Best solution: 1079280 found at 4s
Seconds: 4, Iteration: 210, Iteration per second: 52.500000, Best solution: 1079280 found at 4s
Seconds: 5, Iteration: 220, Iteration per second: 44.000000, Best solution: 1079280 found at 4s
Seconds: 5, Iteration: 230, Iteration per second: 46.000000, Best solution: 1079280 found at 4s
Seconds: 5, Iteration: 240, Iteration per second: 48.000000, Best solution: 1082023 found at 5s
