Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 904282 found at 1s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 904282 found at 1s
Seconds: 3, Iteration: 30, Iteration per second: 10.000000, Best solution: 908889 found at 2s
Seconds: 3, Iteration: 40, Iteration per second: 13.333333, Best solution: 908889 found at 2s
Seconds: 4, Iteration: 50, Iteration per second: 12.500000, Best solution: 909608 found at 3s
Seconds: 5, Iteration: 60, Iteration per second: 12.000000, Best solution: 913380 found at 4s
Seconds: 5, Iteration: 70, Iteration per second: 14.000000, Best solution: 913380 found at 4s
Seconds: 6, Iteration: 80, Iteration per second: 13.333333, Best solution: 913380 found at 4s
Seconds: 6, Iteration: 90, Iteration per second: 15.000000, Best solution: 913380 found at 4s
Seconds: 7, Iteration: 100, Iteration per second: 14.285714, Best solution: 913380 found at 4s
Seconds: 7, Iteration: 110, Iteration per second: 15.714286, Best solution: 913380 found at 4s
Seconds: 7, Iteration: 120, Iteration per second: 17.142857, Best solution: 914688 found at 7s
Seconds: 7, Iteration: 130, Iteration per second: 18.571429, Best solution: 914688 found at 7s
Seconds: 8, Iteration: 140, Iteration per second: 17.500000, Best solution: 914691 found at 8s
Seconds: 8, Iteration: 150, Iteration per second: 18.750000, Best solution: 914691 found at 8s
Seconds: 8, Iteration: 160, Iteration per second: 20.000000, Best solution: 914691 found at 8s
Seconds: 8, Iteration: 170, Iteration per second: 21.250000, Best solution: 915338 found at 8s
Seconds: 9, Iteration: 180, Iteration per second: 20.000000, Best solution: 915338 found at 8s
Seconds: 9, Iteration: 190, Iteration per second: 21.111111, Best solution: 915338 found at 8s
Seconds: 9, Iteration: 200, Iteration per second: 22.222222, Best solution: 915537 found at 9s
Seconds: 9, Iteration: 210, Iteration per second: 23.333333, Best solution: 915537 found at 9s
Seconds: 10, Iteration: 220, Iteration per second: 22.000000, Best solution: 916048 found at 10s
Seconds: 10, Iteration: 230, Iteration per second: 23.000000, Best solution: 916048 found at 10s
Seconds: 10, Iteration: 240, Iteration per second: 24.000000, Best solution: 916209 found at 10s
Seconds: 10, Iteration: 250, Iteration per second: 25.000000, Best solution: 916209 found at 10s
Seconds: 11, Iteration: 260, Iteration per second: 23.636364, Best solution: 922034 found at 11s
Seconds: 11, Iteration: 270, Iteration per second: 24.545455, Best solution: 922034 found at 11s
Seconds: 11, Iteration: 280, Iteration per second: 25.454545, Best solution: 923766 found at 11s
Seconds: 11, Iteration: 290, Iteration per second: 26.363636, Best solution: 923766 found at 11s
Seconds: 12, Iteration: 300, Iteration per second: 25.000000, Best solution: 923766 found at 11s
Seconds: 12, Iteration: 310, Iteration per second: 25.833333, Best solution: 923766 found at 11s
Seconds: 12, Iteration: 320, Iteration per second: 26.666667, Best solution: 923766 found at 11s
Seconds: 13, Iteration: 330, Iteration per second: 25.384615, Best solution: 923766 found at 11s
Seconds: 13, Iteration: 340, Iteration per second: 26.153846, Best solution: 923766 found at 11s
Seconds: 13, Iteration: 350, Iteration per second: 26.923077, Best solution: 923766 found at 11s
Seconds: 13, Iteration: 360, Iteration per second: 27.692308, Best solution: 923766 found at 11s
Seconds: 13, Iteration: 370, Iteration per second: 28.461538, Best solution: 923766 found at 11s
Seconds: 14, Iteration: 380, Iteration per second: 27.142857, Best solution: 923766 found at 11s
Seconds: 14, Iteration: 390, Iteration per second: 27.857143, Best solution: 923766 found at 11s
Seconds: 14, Iteration: 400, Iteration per second: 28.571429, Best solution: 923766 found at 11s
Seconds: 14, Iteration: 410, Iteration per second: 29.285714, Best solution: 923766 found at 11s
Seconds: 15, Iteration: 420, Iteration per second: 28.000000, Best solution: 923766 found at 11s
Seconds: 15, Iteration: 430, Iteration per second: 28.666667, Best solution: 923766 found at 11s
Seconds: 15, Iteration: 440, Iteration per second: 29.333333, Best solution: 923766 found at 11s
Seconds: 15, Iteration: 450, Iteration per second: 30.000000, Best solution: 923766 found at 11s
Seconds: 15, Iteration: 460, Iteration per second: 30.666667, Best solution: 923766 found at 11s
Seconds: 16, Iteration: 470, Iteration per second: 29.375000, Best solution: 923766 found at 11s
Seconds: 16, Iteration: 480, Iteration per second: 30.000000, Best solution: 923766 found at 11s
Seconds: 16, Iteration: 490, Iteration per second: 30.625000, Best solution: 923766 found at 11s
Seconds: 16, Iteration: 500, Iteration per second: 31.250000, Best solution: 923766 found at 11s
Seconds: 17, Iteration: 510, Iteration per second: 30.000000, Best solution: 923766 found at 11s
Seconds: 17, Iteration: 520, Iteration per second: 30.588235, Best solution: 923766 found at 11s
Seconds: 17, Iteration: 530, Iteration per second: 31.176471, Best solution: 923766 found at 11s
Seconds: 17, Iteration: 540, Iteration per second: 31.764706, Best solution: 923766 found at 11s
Seconds: 18, Iteration: 550, Iteration per second: 30.555556, Best solution: 923766 found at 11s
Seconds: 18, Iteration: 560, Iteration per second: 31.111111, Best solution: 923766 found at 11s
Seconds: 18, Iteration: 570, Iteration per second: 31.666667, Best solution: 923766 found at 11s
Seconds: 18, Iteration: 580, Iteration per second: 32.222222, Best solution: 923766 found at 11s
Seconds: 18, Iteration: 590, Iteration per second: 32.777778, Best solution: 923766 found at 11s
Seconds: 19, Iteration: 600, Iteration per second: 31.578947, Best solution: 923766 found at 11s
Seconds: 19, Iteration: 610, Iteration per second: 32.105263, Best solution: 923882 found at 19s
Seconds: 19, Iteration: 620, Iteration per second: 32.631579, Best solution: 923882 found at 19s
Seconds: 19, Iteration: 630, Iteration per second: 33.157895, Best solution: 923882 found at 19s
Seconds: 19, Iteration: 640, Iteration per second: 33.684211, Best solution: 923882 found at 19s
Seconds: 20, Iteration: 650, Iteration per second: 32.500000, Best solution: 923882 found at 19s
Seconds: 20, Iteration: 660, Iteration per second: 33.000000, Best solution: 923882 found at 19s
Seconds: 20, Iteration: 670, Iteration per second: 33.500000, Best solution: 923882 found at 19s
Seconds: 20, Iteration: 680, Iteration per second: 34.000000, Best solution: 923882 found at 19s
Seconds: 21, Iteration: 690, Iteration per second: 32.857143, Best solution: 923882 found at 19s
Seconds: 21, Iteration: 700, Iteration per second: 33.333333, Best solution: 923882 found at 19s
Seconds: 21, Iteration: 710, Iteration per second: 33.809524, Best solution: 923882 found at 19s
Seconds: 21, Iteration: 720, Iteration per second: 34.285714, Best solution: 923882 found at 19s
Seconds: 21, Iteration: 730, Iteration per second: 34.761905, Best solution: 923882 found at 19s
Seconds: 22, Iteration: 740, Iteration per second: 33.636364, Best solution: 923882 found at 19s
Seconds: 22, Iteration: 750, Iteration per second: 34.090909, Best solution: 923882 found at 19s
