Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 416213 found at 1s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 418055 found at 2s
Seconds: 2, Iteration: 30, Iteration per second: 15.000000, Best solution: 418055 found at 2s
Seconds: 3, Iteration: 40, Iteration per second: 13.333333, Best solution: 422098 found at 3s
Seconds: 3, Iteration: 50, Iteration per second: 16.666667, Best solution: 422104 found at 3s
Seconds: 4, Iteration: 60, Iteration per second: 15.000000, Best solution: 422104 found at 3s
Seconds: 4, Iteration: 70, Iteration per second: 17.500000, Best solution: 422143 found at 4s
Seconds: 5, Iteration: 80, Iteration per second: 16.000000, Best solution: 422409 found at 5s
Seconds: 5, Iteration: 90, Iteration per second: 18.000000, Best solution: 422943 found at 5s
Seconds: 6, Iteration: 100, Iteration per second: 16.666667, Best solution: 422943 found at 5s
Seconds: 6, Iteration: 110, Iteration per second: 18.333333, Best solution: 423044 found at 6s
Seconds: 7, Iteration: 120, Iteration per second: 17.142857, Best solution: 423044 found at 6s
Seconds: 7, Iteration: 130, Iteration per second: 18.571429, Best solution: 423044 found at 6s
Seconds: 7, Iteration: 140, Iteration per second: 20.000000, Best solution: 423044 found at 6s
Seconds: 8, Iteration: 150, Iteration per second: 18.750000, Best solution: 423183 found at 8s
Seconds: 8, Iteration: 160, Iteration per second: 20.000000, Best solution: 423183 found at 8s
Seconds: 9, Iteration: 170, Iteration per second: 18.888889, Best solution: 423183 found at 8s
Seconds: 9, Iteration: 180, Iteration per second: 20.000000, Best solution: 423184 found at 9s
Seconds: 10, Iteration: 190, Iteration per second: 19.000000, Best solution: 424564 found at 10s
Seconds: 10, Iteration: 200, Iteration per second: 20.000000, Best solution: 424564 found at 10s
Seconds: 11, Iteration: 210, Iteration per second: 19.090909, Best solution: 424564 found at 10s
Seconds: 11, Iteration: 220, Iteration per second: 20.000000, Best solution: 424634 found at 11s
Seconds: 12, Iteration: 230, Iteration per second: 19.166667, Best solution: 424650 found at 12s
Seconds: 12, Iteration: 240, Iteration per second: 20.000000, Best solution: 425194 found at 12s
Seconds: 13, Iteration: 250, Iteration per second: 19.230769, Best solution: 425393 found at 13s
Seconds: 13, Iteration: 260, Iteration per second: 20.000000, Best solution: 425393 found at 13s
Seconds: 14, Iteration: 270, Iteration per second: 19.285714, Best solution: 425400 found at 13s
Seconds: 14, Iteration: 280, Iteration per second: 20.000000, Best solution: 425400 found at 13s
Seconds: 15, Iteration: 290, Iteration per second: 19.333333, Best solution: 425400 found at 13s
Seconds: 15, Iteration: 300, Iteration per second: 20.000000, Best solution: 425400 found at 13s
Seconds: 15, Iteration: 310, Iteration per second: 20.666667, Best solution: 425542 found at 15s
Seconds: 16, Iteration: 320, Iteration per second: 20.000000, Best solution: 425542 found at 15s
Seconds: 16, Iteration: 330, Iteration per second: 20.625000, Best solution: 425567 found at 16s
Seconds: 17, Iteration: 340, Iteration per second: 20.000000, Best solution: 425602 found at 17s
Seconds: 17, Iteration: 350, Iteration per second: 20.588235, Best solution: 425603 found at 17s
Seconds: 18, Iteration: 360, Iteration per second: 20.000000, Best solution: 425603 found at 17s
Seconds: 18, Iteration: 370, Iteration per second: 20.555556, Best solution: 425603 found at 17s
Seconds: 19, Iteration: 380, Iteration per second: 20.000000, Best solution: 425624 found at 18s
Seconds: 19, Iteration: 390, Iteration per second: 20.526316, Best solution: 425995 found at 19s
