Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 1105182 found at 1s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 1106056 found at 2s
Seconds: 2, Iteration: 30, Iteration per second: 15.000000, Best solution: 1106475 found at 2s
Seconds: 3, Iteration: 40, Iteration per second: 13.333333, Best solution: 1108124 found at 3s
Seconds: 3, Iteration: 50, Iteration per second: 16.666667, Best solution: 1110220 found at 3s
Seconds: 4, Iteration: 60, Iteration per second: 15.000000, Best solution: 1113189 found at 4s
Seconds: 4, Iteration: 70, Iteration per second: 17.500000, Best solution: 1113189 found at 4s
Seconds: 4, Iteration: 80, Iteration per second: 20.000000, Best solution: 1118150 found at 4s
Seconds: 5, Iteration: 90, Iteration per second: 18.000000, Best solution: 1118150 found at 4s
Seconds: 5, Iteration: 100, Iteration per second: 20.000000, Best solution: 1118150 found at 4s
Seconds: 5, Iteration: 110, Iteration per second: 22.000000, Best solution: 1124527 found at 5s
Seconds: 6, Iteration: 120, Iteration per second: 20.000000, Best solution: 1124527 found at 5s
Seconds: 6, Iteration: 130, Iteration per second: 21.666667, Best solution: 1127645 found at 6s
Seconds: 6, Iteration: 140, Iteration per second: 23.333333, Best solution: 1134071 found at 6s
Seconds: 6, Iteration: 150, Iteration per second: 25.000000, Best solution: 1134459 found at 6s
Seconds: 7, Iteration: 160, Iteration per second: 22.857143, Best solution: 1136444 found at 6s
Seconds: 7, Iteration: 170, Iteration per second: 24.285714, Best solution: 1138813 found at 7s
Seconds: 7, Iteration: 180, Iteration per second: 25.714286, Best solution: 1138813 found at 7s
Seconds: 7, Iteration: 190, Iteration per second: 27.142857, Best solution: 1138921 found at 7s
Seconds: 8, Iteration: 200, Iteration per second: 25.000000, Best solution: 1141406 found at 8s
Seconds: 8, Iteration: 210, Iteration per second: 26.250000, Best solution: 1141406 found at 8s
Seconds: 8, Iteration: 220, Iteration per second: 27.500000, Best solution: 1141406 found at 8s
Seconds: 9, Iteration: 230, Iteration per second: 25.555556, Best solution: 1144812 found at 8s
Seconds: 9, Iteration: 240, Iteration per second: 26.666667, Best solution: 1146641 found at 9s
Seconds: 9, Iteration: 250, Iteration per second: 27.777778, Best solution: 1148936 found at 9s
Seconds: 10, Iteration: 260, Iteration per second: 26.000000, Best solution: 1149783 found at 9s
Seconds: 10, Iteration: 270, Iteration per second: 27.000000, Best solution: 1149783 found at 9s
Seconds: 10, Iteration: 280, Iteration per second: 28.000000, Best solution: 1149783 found at 9s
Seconds: 10, Iteration: 290, Iteration per second: 29.000000, Best solution: 1151400 found at 10s
Seconds: 11, Iteration: 300, Iteration per second: 27.272727, Best solution: 1152050 found at 10s
Seconds: 11, Iteration: 310, Iteration per second: 28.181818, Best solution: 1152050 found at 10s
Seconds: 11, Iteration: 320, Iteration per second: 29.090909, Best solution: 1152557 found at 11s
Seconds: 11, Iteration: 330, Iteration per second: 30.000000, Best solution: 1152557 found at 11s
Seconds: 12, Iteration: 340, Iteration per second: 28.333333, Best solution: 1152557 found at 11s
Seconds: 12, Iteration: 350, Iteration per second: 29.166667, Best solution: 1155051 found at 12s
Seconds: 12, Iteration: 360, Iteration per second: 30.000000, Best solution: 1155051 found at 12s
Seconds: 12, Iteration: 370, Iteration per second: 30.833333, Best solution: 1155051 found at 12s
Seconds: 13, Iteration: 380, Iteration per second: 29.230769, Best solution: 1155051 found at 12s
Seconds: 13, Iteration: 390, Iteration per second: 30.000000, Best solution: 1155051 found at 12s
Seconds: 13, Iteration: 400, Iteration per second: 30.769231, Best solution: 1155051 found at 12s
Seconds: 13, Iteration: 410, Iteration per second: 31.538462, Best solution: 1155051 found at 12s
Seconds: 14, Iteration: 420, Iteration per second: 30.000000, Best solution: 1155712 found at 14s
Seconds: 14, Iteration: 430, Iteration per second: 30.714286, Best solution: 1155712 found at 14s
Seconds: 14, Iteration: 440, Iteration per second: 31.428571, Best solution: 1157113 found at 14s
Seconds: 15, Iteration: 450, Iteration per second: 30.000000, Best solution: 1157113 found at 14s
Seconds: 15, Iteration: 460, Iteration per second: 30.666667, Best solution: 1157113 found at 14s
Seconds: 15, Iteration: 470, Iteration per second: 31.333333, Best solution: 1157113 found at 14s
Seconds: 15, Iteration: 480, Iteration per second: 32.000000, Best solution: 1158852 found at 15s
Seconds: 16, Iteration: 490, Iteration per second: 30.625000, Best solution: 1159233 found at 15s
Seconds: 16, Iteration: 500, Iteration per second: 31.250000, Best solution: 1160602 found at 16s
Seconds: 16, Iteration: 510, Iteration per second: 31.875000, Best solution: 1160602 found at 16s
Seconds: 16, Iteration: 520, Iteration per second: 32.500000, Best solution: 1160602 found at 16s
Seconds: 17, Iteration: 530, Iteration per second: 31.176471, Best solution: 1160602 found at 16s
Seconds: 17, Iteration: 540, Iteration per second: 31.764706, Best solution: 1160602 found at 16s
Seconds: 17, Iteration: 550, Iteration per second: 32.352941, Best solution: 1160602 found at 16s
Seconds: 17, Iteration: 560, Iteration per second: 32.941176, Best solution: 1160615 found at 17s
Seconds: 18, Iteration: 570, Iteration per second: 31.666667, Best solution: 1160615 found at 17s
Seconds: 18, Iteration: 580, Iteration per second: 32.222222, Best solution: 1161670 found at 18s
Seconds: 18, Iteration: 590, Iteration per second: 32.777778, Best solution: 1161670 found at 18s
Seconds: 18, Iteration: 600, Iteration per second: 33.333333, Best solution: 1162194 found at 18s
Seconds: 19, Iteration: 610, Iteration per second: 32.105263, Best solution: 1162194 found at 18s
Seconds: 19, Iteration: 620, Iteration per second: 32.631579, Best solution: 1162446 found at 19s
Seconds: 19, Iteration: 630, Iteration per second: 33.157895, Best solution: 1162900 found at 19s
Seconds: 20, Iteration: 640, Iteration per second: 32.000000, Best solution: 1162952 found at 20s
Seconds: 20, Iteration: 650, Iteration per second: 32.500000, Best solution: 1162952 found at 20s
Seconds: 20, Iteration: 660, Iteration per second: 33.000000, Best solution: 1166381 found at 20s
Seconds: 20, Iteration: 670, Iteration per second: 33.500000, Best solution: 1166381 found at 20s
Seconds: 21, Iteration: 680, Iteration per second: 32.380952, Best solution: 1166381 found at 20s
Seconds: 21, Iteration: 690, Iteration per second: 32.857143, Best solution: 1166381 found at 20s
Seconds: 21, Iteration: 700, Iteration per second: 33.333333, Best solution: 1166419 found at 21s
Seconds: 21, Iteration: 710, Iteration per second: 33.809524, Best solution: 1166419 found at 21s
Seconds: 22, Iteration: 720, Iteration per second: 32.727273, Best solution: 1166707 found at 22s
Seconds: 22, Iteration: 730, Iteration per second: 33.181818, Best solution: 1166756 found at 22s
Seconds: 22, Iteration: 740, Iteration per second: 33.636364, Best solution: 1167889 found at 22s
Seconds: 23, Iteration: 750, Iteration per second: 32.608696, Best solution: 1167889 found at 22s
Seconds: 23, Iteration: 760, Iteration per second: 33.043478, Best solution: 1167889 found at 22s
Seconds: 23, Iteration: 770, Iteration per second: 33.478261, Best solution: 1167889 found at 22s
Seconds: 23, Iteration: 780, Iteration per second: 33.913043, Best solution: 1167889 found at 22s
Seconds: 24, Iteration: 790, Iteration per second: 32.916667, Best solution: 1167889 found at 22s
Seconds: 24, Iteration: 800, Iteration per second: 33.333333, Best solution: 1167889 found at 22s
Seconds: 24, Iteration: 810, Iteration per second: 33.750000, Best solution: 1167942 found at 24s
Seconds: 24, Iteration: 820, Iteration per second: 34.166667, Best solution: 1167942 found at 24s
Seconds: 25, Iteration: 830, Iteration per second: 33.200000, Best solution: 1167942 found at 24s
Seconds: 25, Iteration: 840, Iteration per second: 33.600000, Best solution: 1167942 found at 24s
Seconds: 25, Iteration: 850, Iteration per second: 34.000000, Best solution: 1167942 found at 24s
Seconds: 26, Iteration: 860, Iteration per second: 33.076923, Best solution: 1167942 found at 24s
Seconds: 26, Iteration: 870, Iteration per second: 33.461538, Best solution: 1167942 found at 24s
Seconds: 26, Iteration: 880, Iteration per second: 33.846154, Best solution: 1167942 found at 24s
Seconds: 26, Iteration: 890, Iteration per second: 34.230769, Best solution: 1167942 found at 24s
Seconds: 27, Iteration: 900, Iteration per second: 33.333333, Best solution: 1167942 found at 24s
Seconds: 27, Iteration: 910, Iteration per second: 33.703704, Best solution: 1168146 found at 27s
Seconds: 27, Iteration: 920, Iteration per second: 34.074074, Best solution: 1168146 found at 27s
Seconds: 27, Iteration: 930, Iteration per second: 34.444444, Best solution: 1168492 found at 27s
Seconds: 28, Iteration: 940, Iteration per second: 33.571429, Best solution: 1168492 found at 27s
Seconds: 28, Iteration: 950, Iteration per second: 33.928571, Best solution: 1168492 found at 27s
