Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 809166 found at 1s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 811344 found at 1s
Seconds: 2, Iteration: 30, Iteration per second: 15.000000, Best solution: 828715 found at 2s
Seconds: 2, Iteration: 40, Iteration per second: 20.000000, Best solution: 837454 found at 2s
Seconds: 3, Iteration: 50, Iteration per second: 16.666667, Best solution: 841178 found at 3s
Seconds: 3, Iteration: 60, Iteration per second: 20.000000, Best solution: 843067 found at 3s
Seconds: 3, Iteration: 70, Iteration per second: 23.333333, Best solution: 843322 found at 3s
Seconds: 4, Iteration: 80, Iteration per second: 20.000000, Best solution: 843813 found at 4s
Seconds: 4, Iteration: 90, Iteration per second: 22.500000, Best solution: 843813 found at 4s
Seconds: 4, Iteration: 100, Iteration per second: 25.000000, Best solution: 843945 found at 4s
Seconds: 5, Iteration: 110, Iteration per second: 22.000000, Best solution: 843945 found at 4s
Seconds: 5, Iteration: 120, Iteration per second: 24.000000, Best solution: 846488 found at 5s
Seconds: 5, Iteration: 130, Iteration per second: 26.000000, Best solution: 846488 found at 5s
Seconds: 5, Iteration: 140, Iteration per second: 28.000000, Best solution: 846488 found at 5s
Seconds: 6, Iteration: 150, Iteration per second: 25.000000, Best solution: 850732 found at 6s
Seconds: 6, Iteration: 160, Iteration per second: 26.666667, Best solution: 850732 found at 6s
Seconds: 6, Iteration: 170, Iteration per second: 28.333333, Best solution: 850732 found at 6s
Seconds: 6, Iteration: 180, Iteration per second: 30.000000, Best solution: 850732 found at 6s
Seconds: 7, Iteration: 190, Iteration per second: 27.142857, Best solution: 850732 found at 6s
Seconds: 7, Iteration: 200, Iteration per second: 28.571429, Best solution: 850732 found at 6s
Seconds: 7, Iteration: 210, Iteration per second: 30.000000, Best solution: 850732 found at 6s
Seconds: 7, Iteration: 220, Iteration per second: 31.428571, Best solution: 851056 found at 7s
Seconds: 8, Iteration: 230, Iteration per second: 28.750000, Best solution: 851056 found at 7s
Seconds: 8, Iteration: 240, Iteration per second: 30.000000, Best solution: 851056 found at 7s
Seconds: 8, Iteration: 250, Iteration per second: 31.250000, Best solution: 851056 found at 7s
Seconds: 8, Iteration: 260, Iteration per second: 32.500000, Best solution: 851056 found at 7s
Seconds: 8, Iteration: 270, Iteration per second: 33.750000, Best solution: 851659 found at 8s
Seconds: 8, Iteration: 280, Iteration per second: 35.000000, Best solution: 851659 found at 8s
Seconds: 9, Iteration: 290, Iteration per second: 32.222222, Best solution: 851800 found at 9s
Seconds: 9, Iteration: 300, Iteration per second: 33.333333, Best solution: 851800 found at 9s
Seconds: 9, Iteration: 310, Iteration per second: 34.444444, Best solution: 851800 found at 9s
Seconds: 9, Iteration: 320, Iteration per second: 35.555556, Best solution: 851800 found at 9s
Seconds: 9, Iteration: 330, Iteration per second: 36.666667, Best solution: 851800 found at 9s
Seconds: 9, Iteration: 340, Iteration per second: 37.777778, Best solution: 851800 found at 9s
Seconds: 9, Iteration: 350, Iteration per second: 38.888889, Best solution: 851800 found at 9s
Seconds: 9, Iteration: 360, Iteration per second: 40.000000, Best solution: 851800 found at 9s
Seconds: 10, Iteration: 370, Iteration per second: 37.000000, Best solution: 851800 found at 9s
Seconds: 10, Iteration: 380, Iteration per second: 38.000000, Best solution: 851800 found at 9s
Seconds: 10, Iteration: 390, Iteration per second: 39.000000, Best solution: 851800 found at 9s
Seconds: 10, Iteration: 400, Iteration per second: 40.000000, Best solution: 851800 found at 9s
Seconds: 10, Iteration: 410, Iteration per second: 41.000000, Best solution: 851800 found at 9s
Seconds: 11, Iteration: 420, Iteration per second: 38.181818, Best solution: 851800 found at 9s
Seconds: 11, Iteration: 430, Iteration per second: 39.090909, Best solution: 851800 found at 9s
Seconds: 11, Iteration: 440, Iteration per second: 40.000000, Best solution: 851800 found at 9s
Seconds: 11, Iteration: 450, Iteration per second: 40.909091, Best solution: 851800 found at 9s
Seconds: 11, Iteration: 460, Iteration per second: 41.818182, Best solution: 851800 found at 9s
Seconds: 11, Iteration: 470, Iteration per second: 42.727273, Best solution: 852599 found at 11s
Seconds: 11, Iteration: 480, Iteration per second: 43.636364, Best solution: 852599 found at 11s
Seconds: 11, Iteration: 490, Iteration per second: 44.545455, Best solution: 852599 found at 11s
Seconds: 12, Iteration: 500, Iteration per second: 41.666667, Best solution: 853809 found at 12s
Seconds: 12, Iteration: 510, Iteration per second: 42.500000, Best solution: 853839 found at 12s
Seconds: 12, Iteration: 520, Iteration per second: 43.333333, Best solution: 853839 found at 12s
Seconds: 12, Iteration: 530, Iteration per second: 44.166667, Best solution: 853839 found at 12s
Seconds: 12, Iteration: 540, Iteration per second: 45.000000, Best solution: 853947 found at 12s
Seconds: 12, Iteration: 550, Iteration per second: 45.833333, Best solution: 853947 found at 12s
Seconds: 12, Iteration: 560, Iteration per second: 46.666667, Best solution: 855367 found at 12s
Seconds: 12, Iteration: 570, Iteration per second: 47.500000, Best solution: 855367 found at 12s
Seconds: 12, Iteration: 580, Iteration per second: 48.333333, Best solution: 855367 found at 12s
Seconds: 13, Iteration: 590, Iteration per second: 45.384615, Best solution: 855367 found at 12s
Seconds: 13, Iteration: 600, Iteration per second: 46.153846, Best solution: 855371 found at 13s
Seconds: 13, Iteration: 610, Iteration per second: 46.923077, Best solution: 856181 found at 13s
Seconds: 13, Iteration: 620, Iteration per second: 47.692308, Best solution: 856181 found at 13s
Seconds: 13, Iteration: 630, Iteration per second: 48.461538, Best solution: 856181 found at 13s
Seconds: 13, Iteration: 640, Iteration per second: 49.230769, Best solution: 856181 found at 13s
Seconds: 13, Iteration: 650, Iteration per second: 50.000000, Best solution: 856552 found at 13s
Seconds: 14, Iteration: 660, Iteration per second: 47.142857, Best solution: 856552 found at 13s
Seconds: 14, Iteration: 670, Iteration per second: 47.857143, Best solution: 856552 found at 13s
Seconds: 14, Iteration: 680, Iteration per second: 48.571429, Best solution: 856552 found at 13s
Seconds: 14, Iteration: 690, Iteration per second: 49.285714, Best solution: 856552 found at 13s
Seconds: 14, Iteration: 700, Iteration per second: 50.000000, Best solution: 856552 found at 13s
Seconds: 14, Iteration: 710, Iteration per second: 50.714286, Best solution: 856552 found at 13s
Seconds: 14, Iteration: 720, Iteration per second: 51.428571, Best solution: 856552 found at 13s
Seconds: 14, Iteration: 730, Iteration per second: 52.142857, Best solution: 856552 found at 13s
Seconds: 14, Iteration: 740, Iteration per second: 52.857143, Best solution: 856552 found at 13s
Seconds: 15, Iteration: 750, Iteration per second: 50.000000, Best solution: 856552 found at 13s
Seconds: 15, Iteration: 760, Iteration per second: 50.666667, Best solution: 856552 found at 13s
Seconds: 15, Iteration: 770, Iteration per second: 51.333333, Best solution: 856552 found at 13s
Seconds: 15, Iteration: 780, Iteration per second: 52.000000, Best solution: 856552 found at 13s
Seconds: 15, Iteration: 790, Iteration per second: 52.666667, Best solution: 856552 found at 13s
Seconds: 15, Iteration: 800, Iteration per second: 53.333333, Best solution: 856552 found at 13s
Seconds: 15, Iteration: 810, Iteration per second: 54.000000, Best solution: 856552 found at 13s
Seconds: 15, Iteration: 820, Iteration per second: 54.666667, Best solution: 856552 found at 13s
Seconds: 16, Iteration: 830, Iteration per second: 51.875000, Best solution: 856552 found at 13s
Seconds: 16, Iteration: 840, Iteration per second: 52.500000, Best solution: 856552 found at 13s
Seconds: 16, Iteration: 850, Iteration per second: 53.125000, Best solution: 856552 found at 13s
Seconds: 16, Iteration: 860, Iteration per second: 53.750000, Best solution: 856552 found at 13s
Seconds: 16, Iteration: 870, Iteration per second: 54.375000, Best solution: 856553 found at 16s
Seconds: 16, Iteration: 880, Iteration per second: 55.000000, Best solution: 856553 found at 16s
Seconds: 16, Iteration: 890, Iteration per second: 55.625000, Best solution: 856553 found at 16s
Seconds: 17, Iteration: 900, Iteration per second: 52.941176, Best solution: 856553 found at 16s
Seconds: 17, Iteration: 910, Iteration per second: 53.529412, Best solution: 856553 found at 16s
Seconds: 17, Iteration: 920, Iteration per second: 54.117647, Best solution: 856553 found at 16s
Seconds: 17, Iteration: 930, Iteration per second: 54.705882, Best solution: 856553 found at 16s
Seconds: 17, Iteration: 940, Iteration per second: 55.294118, Best solution: 856553 found at 16s
Seconds: 17, Iteration: 950, Iteration per second: 55.882353, Best solution: 856553 found at 16s
Seconds: 17, Iteration: 960, Iteration per second: 56.470588, Best solution: 856553 found at 16s
Seconds: 17, Iteration: 970, Iteration per second: 57.058824, Best solution: 856553 found at 16s
Seconds: 18, Iteration: 980, Iteration per second: 54.444444, Best solution: 857644 found at 18s
Seconds: 18, Iteration: 990, Iteration per second: 55.000000, Best solution: 857644 found at 18s
Seconds: 18, Iteration: 1000, Iteration per second: 55.555556, Best solution: 857644 found at 18s
Seconds: 18, Iteration: 1010, Iteration per second: 56.111111, Best solution: 857644 found at 18s
Seconds: 18, Iteration: 1020, Iteration per second: 56.666667, Best solution: 857644 found at 18s
Seconds: 18, Iteration: 1030, Iteration per second: 57.222222, Best solution: 858177 found at 18s
Seconds: 18, Iteration: 1040, Iteration per second: 57.777778, Best solution: 858177 found at 18s
Seconds: 18, Iteration: 1050, Iteration per second: 58.333333, Best solution: 858177 found at 18s
Seconds: 19, Iteration: 1060, Iteration per second: 55.789474, Best solution: 858177 found at 18s
Seconds: 19, Iteration: 1070, Iteration per second: 56.315789, Best solution: 858177 found at 18s
Seconds: 19, Iteration: 1080, Iteration per second: 56.842105, Best solution: 858991 found at 19s
Seconds: 19, Iteration: 1090, Iteration per second: 57.368421, Best solution: 858991 found at 19s
Seconds: 19, Iteration: 1100, Iteration per second: 57.894737, Best solution: 858991 found at 19s
Seconds: 19, Iteration: 1110, Iteration per second: 58.421053, Best solution: 858991 found at 19s
Seconds: 19, Iteration: 1120, Iteration per second: 58.947368, Best solution: 858991 found at 19s
Seconds: 19, Iteration: 1130, Iteration per second: 59.473684, Best solution: 858991 found at 19s
Seconds: 20, Iteration: 1140, Iteration per second: 57.000000, Best solution: 858991 found at 19s
Seconds: 20, Iteration: 1150, Iteration per second: 57.500000, Best solution: 858991 found at 19s
Seconds: 20, Iteration: 1160, Iteration per second: 58.000000, Best solution: 858991 found at 19s
Seconds: 20, Iteration: 1170, Iteration per second: 58.500000, Best solution: 858991 found at 19s
Seconds: 20, Iteration: 1180, Iteration per second: 59.000000, Best solution: 858991 found at 19s
Seconds: 20, Iteration: 1190, Iteration per second: 59.500000, Best solution: 858991 found at 19s
Seconds: 20, Iteration: 1200, Iteration per second: 60.000000, Best solution: 858991 found at 19s
Seconds: 20, Iteration: 1210, Iteration per second: 60.500000, Best solution: 859009 found at 20s
Seconds: 20, Iteration: 1220, Iteration per second: 61.000000, Best solution: 859009 found at 20s
Seconds: 21, Iteration: 1230, Iteration per second: 58.571429, Best solution: 859009 found at 20s
Seconds: 21, Iteration: 1240, Iteration per second: 59.047619, Best solution: 859009 found at 20s
Seconds: 21, Iteration: 1250, Iteration per second: 59.523810, Best solution: 859009 found at 20s
Seconds: 21, Iteration: 1260, Iteration per second: 60.000000, Best solution: 859009 found at 20s
Seconds: 21, Iteration: 1270, Iteration per second: 60.476190, Best solution: 859009 found at 20s
Seconds: 21, Iteration: 1280, Iteration per second: 60.952381, Best solution: 859009 found at 20s
Seconds: 21, Iteration: 1290, Iteration per second: 61.428571, Best solution: 859009 found at 20s
Seconds: 21, Iteration: 1300, Iteration per second: 61.904762, Best solution: 859009 found at 20s
Seconds: 22, Iteration: 1310, Iteration per second: 59.545455, Best solution: 859009 found at 20s
Seconds: 22, Iteration: 1320, Iteration per second: 60.000000, Best solution: 859009 found at 20s
Seconds: 22, Iteration: 1330, Iteration per second: 60.454545, Best solution: 859009 found at 20s
Seconds: 22, Iteration: 1340, Iteration per second: 60.909091, Best solution: 859009 found at 20s
