Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 1053097 found at 0s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 1053097 found at 0s
Seconds: 3, Iteration: 30, Iteration per second: 10.000000, Best solution: 1055035 found at 3s
Seconds: 4, Iteration: 40, Iteration per second: 10.000000, Best solution: 1055035 found at 3s
Seconds: 4, Iteration: 50, Iteration per second: 12.500000, Best solution: 1055375 found at 4s
Seconds: 4, Iteration: 60, Iteration per second: 15.000000, Best solution: 1057663 found at 4s
Seconds: 5, Iteration: 70, Iteration per second: 14.000000, Best solution: 1057663 found at 4s
Seconds: 5, Iteration: 80, Iteration per second: 16.000000, Best solution: 1057663 found at 4s
Seconds: 6, Iteration: 90, Iteration per second: 15.000000, Best solution: 1057663 found at 4s
Seconds: 6, Iteration: 100, Iteration per second: 16.666667, Best solution: 1057663 found at 4s
Seconds: 7, Iteration: 110, Iteration per second: 15.714286, Best solution: 1057663 found at 4s
Seconds: 7, Iteration: 120, Iteration per second: 17.142857, Best solution: 1058475 found at 7s
Seconds: 7, Iteration: 130, Iteration per second: 18.571429, Best solution: 1060768 found at 7s
Seconds: 8, Iteration: 140, Iteration per second: 17.500000, Best solution: 1060768 found at 7s
Seconds: 8, Iteration: 150, Iteration per second: 18.750000, Best solution: 1060768 found at 7s
Seconds: 9, Iteration: 160, Iteration per second: 17.777778, Best solution: 1061154 found at 8s
Seconds: 9, Iteration: 170, Iteration per second: 18.888889, Best solution: 1061682 found at 9s
Seconds: 9, Iteration: 180, Iteration per second: 20.000000, Best solution: 1065881 found at 9s
Seconds: 10, Iteration: 190, Iteration per second: 19.000000, Best solution: 1065881 found at 9s
Seconds: 10, Iteration: 200, Iteration per second: 20.000000, Best solution: 1065881 found at 9s
Seconds: 11, Iteration: 210, Iteration per second: 19.090909, Best solution: 1068335 found at 11s
Seconds: 11, Iteration: 220, Iteration per second: 20.000000, Best solution: 1068335 found at 11s
Seconds: 11, Iteration: 230, Iteration per second: 20.909091, Best solution: 1069019 found at 11s
Seconds: 12, Iteration: 240, Iteration per second: 20.000000, Best solution: 1069418 found at 11s
Seconds: 12, Iteration: 250, Iteration per second: 20.833333, Best solution: 1069418 found at 11s
Seconds: 13, Iteration: 260, Iteration per second: 20.000000, Best solution: 1069475 found at 12s
Seconds: 13, Iteration: 270, Iteration per second: 20.769231, Best solution: 1069486 found at 13s
Seconds: 13, Iteration: 280, Iteration per second: 21.538462, Best solution: 1071803 found at 13s
Seconds: 14, Iteration: 290, Iteration per second: 20.714286, Best solution: 1071837 found at 14s
Seconds: 14, Iteration: 300, Iteration per second: 21.428571, Best solution: 1072657 found at 14s
Seconds: 15, Iteration: 310, Iteration per second: 20.666667, Best solution: 1072657 found at 14s
Seconds: 15, Iteration: 320, Iteration per second: 21.333333, Best solution: 1073070 found at 15s
Seconds: 15, Iteration: 330, Iteration per second: 22.000000, Best solution: 1073070 found at 15s
Seconds: 16, Iteration: 340, Iteration per second: 21.250000, Best solution: 1073070 found at 15s
Seconds: 16, Iteration: 350, Iteration per second: 21.875000, Best solution: 1074681 found at 16s
Seconds: 17, Iteration: 360, Iteration per second: 21.176471, Best solution: 1074681 found at 16s
Seconds: 17, Iteration: 370, Iteration per second: 21.764706, Best solution: 1074681 found at 16s
