Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 1221034 found at 1s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 1226558 found at 2s
Seconds: 3, Iteration: 30, Iteration per second: 10.000000, Best solution: 1226735 found at 2s
Seconds: 4, Iteration: 40, Iteration per second: 10.000000, Best solution: 1230166 found at 4s
Seconds: 4, Iteration: 50, Iteration per second: 12.500000, Best solution: 1238783 found at 4s
Seconds: 5, Iteration: 60, Iteration per second: 12.000000, Best solution: 1245175 found at 4s
Seconds: 5, Iteration: 70, Iteration per second: 14.000000, Best solution: 1245821 found at 5s
Seconds: 5, Iteration: 80, Iteration per second: 16.000000, Best solution: 1247578 found at 5s
Seconds: 6, Iteration: 90, Iteration per second: 15.000000, Best solution: 1251043 found at 6s
Seconds: 6, Iteration: 100, Iteration per second: 16.666667, Best solution: 1253933 found at 6s
Seconds: 7, Iteration: 110, Iteration per second: 15.714286, Best solution: 1256890 found at 6s
Seconds: 7, Iteration: 120, Iteration per second: 17.142857, Best solution: 1256890 found at 6s
Seconds: 7, Iteration: 130, Iteration per second: 18.571429, Best solution: 1256890 found at 6s
Seconds: 8, Iteration: 140, Iteration per second: 17.500000, Best solution: 1257817 found at 8s
Seconds: 8, Iteration: 150, Iteration per second: 18.750000, Best solution: 1260252 found at 8s
Seconds: 9, Iteration: 160, Iteration per second: 17.777778, Best solution: 1260252 found at 8s
Seconds: 9, Iteration: 170, Iteration per second: 18.888889, Best solution: 1266951 found at 9s
Seconds: 10, Iteration: 180, Iteration per second: 18.000000, Best solution: 1266951 found at 9s
Seconds: 10, Iteration: 190, Iteration per second: 19.000000, Best solution: 1266951 found at 9s
Seconds: 10, Iteration: 200, Iteration per second: 20.000000, Best solution: 1268025 found at 10s
Seconds: 11, Iteration: 210, Iteration per second: 19.090909, Best solution: 1268025 found at 10s
Seconds: 11, Iteration: 220, Iteration per second: 20.000000, Best solution: 1269352 found at 11s
Seconds: 12, Iteration: 230, Iteration per second: 19.166667, Best solution: 1269352 found at 11s
Seconds: 12, Iteration: 240, Iteration per second: 20.000000, Best solution: 1270582 found at 12s
Seconds: 13, Iteration: 250, Iteration per second: 19.230769, Best solution: 1284500 found at 12s
Seconds: 13, Iteration: 260, Iteration per second: 20.000000, Best solution: 1284500 found at 12s
Seconds: 14, Iteration: 270, Iteration per second: 19.285714, Best solution: 1284500 found at 12s
Seconds: 14, Iteration: 280, Iteration per second: 20.000000, Best solution: 1286380 found at 14s
Seconds: 14, Iteration: 290, Iteration per second: 20.714286, Best solution: 1286380 found at 14s
Seconds: 15, Iteration: 300, Iteration per second: 20.000000, Best solution: 1286928 found at 15s
Seconds: 15, Iteration: 310, Iteration per second: 20.666667, Best solution: 1286928 found at 15s
Seconds: 16, Iteration: 320, Iteration per second: 20.000000, Best solution: 1286928 found at 15s
Seconds: 16, Iteration: 330, Iteration per second: 20.625000, Best solution: 1286928 found at 15s
Seconds: 17, Iteration: 340, Iteration per second: 20.000000, Best solution: 1286928 found at 15s
Seconds: 17, Iteration: 350, Iteration per second: 20.588235, Best solution: 1286928 found at 15s
Seconds: 17, Iteration: 360, Iteration per second: 21.176471, Best solution: 1287297 found at 17s
Seconds: 18, Iteration: 370, Iteration per second: 20.555556, Best solution: 1288065 found at 18s
Seconds: 18, Iteration: 380, Iteration per second: 21.111111, Best solution: 1288164 found at 18s
Seconds: 19, Iteration: 390, Iteration per second: 20.526316, Best solution: 1288322 found at 19s
Seconds: 19, Iteration: 400, Iteration per second: 21.052632, Best solution: 1288322 found at 19s
Seconds: 19, Iteration: 410, Iteration per second: 21.578947, Best solution: 1288322 found at 19s
Seconds: 20, Iteration: 420, Iteration per second: 21.000000, Best solution: 1289268 found at 20s
Seconds: 20, Iteration: 430, Iteration per second: 21.500000, Best solution: 1289268 found at 20s
Seconds: 21, Iteration: 440, Iteration per second: 20.952381, Best solution: 1289268 found at 20s
Seconds: 21, Iteration: 450, Iteration per second: 21.428571, Best solution: 1289268 found at 20s
Seconds: 21, Iteration: 460, Iteration per second: 21.904762, Best solution: 1289268 found at 20s
Seconds: 22, Iteration: 470, Iteration per second: 21.363636, Best solution: 1289268 found at 20s
