Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 971270 found at 1s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 973144 found at 2s
Seconds: 3, Iteration: 30, Iteration per second: 10.000000, Best solution: 975825 found at 2s
Seconds: 3, Iteration: 40, Iteration per second: 13.333333, Best solution: 977166 found at 3s
Seconds: 4, Iteration: 50, Iteration per second: 12.500000, Best solution: 977166 found at 3s
Seconds: 4, Iteration: 60, Iteration per second: 15.000000, Best solution: 977166 found at 3s
Seconds: 5, Iteration: 70, Iteration per second: 14.000000, Best solution: 977166 found at 3s
Seconds: 5, Iteration: 80, Iteration per second: 16.000000, Best solution: 977166 found at 3s
Seconds: 5, Iteration: 90, Iteration per second: 18.000000, Best solution: 977166 found at 3s
Seconds: 6, Iteration: 100, Iteration per second: 16.666667, Best solution: 977166 found at 3s
Seconds: 6, Iteration: 110, Iteration per second: 18.333333, Best solution: 978137 found at 6s
Seconds: 6, Iteration: 120, Iteration per second: 20.000000, Best solution: 978598 found at 6s
Seconds: 7, Iteration: 130, Iteration per second: 18.571429, Best solution: 980868 found at 6s
Seconds: 7, Iteration: 140, Iteration per second: 20.000000, Best solution: 980868 found at 6s
Seconds: 7, Iteration: 150, Iteration per second: 21.428571, Best solution: 980868 found at 6s
Seconds: 8, Iteration: 160, Iteration per second: 20.000000, Best solution: 980868 found at 6s
Seconds: 8, Iteration: 170, Iteration per second: 21.250000, Best solution: 981842 found at 8s
Seconds: 8, Iteration: 180, Iteration per second: 22.500000, Best solution: 984467 found at 8s
Seconds: 9, Iteration: 190, Iteration per second: 21.111111, Best solution: 984467 found at 8s
Seconds: 9, Iteration: 200, Iteration per second: 22.222222, Best solution: 984467 found at 8s
Seconds: 9, Iteration: 210, Iteration per second: 23.333333, Best solution: 985536 found at 9s
Seconds: 9, Iteration: 220, Iteration per second: 24.444444, Best solution: 985536 found at 9s
Seconds: 10, Iteration: 230, Iteration per second: 23.000000, Best solution: 985536 found at 9s
Seconds: 10, Iteration: 240, Iteration per second: 24.000000, Best solution: 985970 found at 10s
Seconds: 10, Iteration: 250, Iteration per second: 25.000000, Best solution: 985970 found at 10s
Seconds: 11, Iteration: 260, Iteration per second: 23.636364, Best solution: 985970 found at 10s
Seconds: 11, Iteration: 270, Iteration per second: 24.545455, Best solution: 993436 found at 11s
Seconds: 11, Iteration: 280, Iteration per second: 25.454545, Best solution: 993436 found at 11s
Seconds: 12, Iteration: 290, Iteration per second: 24.166667, Best solution: 993436 found at 11s
Seconds: 12, Iteration: 300, Iteration per second: 25.000000, Best solution: 993436 found at 11s
Seconds: 12, Iteration: 310, Iteration per second: 25.833333, Best solution: 993436 found at 11s
Seconds: 13, Iteration: 320, Iteration per second: 24.615385, Best solution: 993436 found at 11s
Seconds: 13, Iteration: 330, Iteration per second: 25.384615, Best solution: 997222 found at 13s
Seconds: 13, Iteration: 340, Iteration per second: 26.153846, Best solution: 997222 found at 13s
Seconds: 14, Iteration: 350, Iteration per second: 25.000000, Best solution: 997222 found at 13s
Seconds: 14, Iteration: 360, Iteration per second: 25.714286, Best solution: 999378 found at 14s
Seconds: 14, Iteration: 370, Iteration per second: 26.428571, Best solution: 999378 found at 14s
Seconds: 14, Iteration: 380, Iteration per second: 27.142857, Best solution: 999378 found at 14s
Seconds: 15, Iteration: 390, Iteration per second: 26.000000, Best solution: 999378 found at 14s
