Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 1283567 found at 0s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 1288311 found at 2s
Seconds: 3, Iteration: 30, Iteration per second: 10.000000, Best solution: 1290980 found at 3s
Seconds: 4, Iteration: 40, Iteration per second: 10.000000, Best solution: 1290980 found at 3s
Seconds: 4, Iteration: 50, Iteration per second: 12.500000, Best solution: 1294616 found at 4s
Seconds: 4, Iteration: 60, Iteration per second: 15.000000, Best solution: 1294616 found at 4s
Seconds: 5, Iteration: 70, Iteration per second: 14.000000, Best solution: 1300040 found at 4s
Seconds: 5, Iteration: 80, Iteration per second: 16.000000, Best solution: 1304906 found at 5s
Seconds: 5, Iteration: 90, Iteration per second: 18.000000, Best solution: 1304906 found at 5s
Seconds: 6, Iteration: 100, Iteration per second: 16.666667, Best solution: 1307002 found at 6s
Seconds: 6, Iteration: 110, Iteration per second: 18.333333, Best solution: 1312458 found at 6s
Seconds: 7, Iteration: 120, Iteration per second: 17.142857, Best solution: 1316454 found at 6s
Seconds: 7, Iteration: 130, Iteration per second: 18.571429, Best solution: 1316454 found at 6s
Seconds: 7, Iteration: 140, Iteration per second: 20.000000, Best solution: 1317449 found at 7s
Seconds: 8, Iteration: 150, Iteration per second: 18.750000, Best solution: 1317449 found at 7s
Seconds: 8, Iteration: 160, Iteration per second: 20.000000, Best solution: 1317449 found at 7s
Seconds: 8, Iteration: 170, Iteration per second: 21.250000, Best solution: 1317449 found at 7s
Seconds: 9, Iteration: 180, Iteration per second: 20.000000, Best solution: 1317449 found at 7s
Seconds: 9, Iteration: 190, Iteration per second: 21.111111, Best solution: 1317574 found at 9s
Seconds: 9, Iteration: 200, Iteration per second: 22.222222, Best solution: 1318175 found at 9s
Seconds: 10, Iteration: 210, Iteration per second: 21.000000, Best solution: 1318175 found at 9s
Seconds: 10, Iteration: 220, Iteration per second: 22.000000, Best solution: 1318175 found at 9s
Seconds: 10, Iteration: 230, Iteration per second: 23.000000, Best solution: 1318175 found at 9s
Seconds: 11, Iteration: 240, Iteration per second: 21.818182, Best solution: 1318175 found at 9s
Seconds: 11, Iteration: 250, Iteration per second: 22.727273, Best solution: 1318175 found at 9s
Seconds: 11, Iteration: 260, Iteration per second: 23.636364, Best solution: 1318175 found at 9s
Seconds: 12, Iteration: 270, Iteration per second: 22.500000, Best solution: 1318175 found at 9s
Seconds: 12, Iteration: 280, Iteration per second: 23.333333, Best solution: 1318175 found at 9s
Seconds: 12, Iteration: 290, Iteration per second: 24.166667, Best solution: 1318337 found at 12s
Seconds: 13, Iteration: 300, Iteration per second: 23.076923, Best solution: 1318337 found at 12s
Seconds: 13, Iteration: 310, Iteration per second: 23.846154, Best solution: 1318337 found at 12s
Seconds: 13, Iteration: 320, Iteration per second: 24.615385, Best solution: 1318337 found at 12s
Seconds: 14, Iteration: 330, Iteration per second: 23.571429, Best solution: 1318337 found at 12s
Seconds: 14, Iteration: 340, Iteration per second: 24.285714, Best solution: 1318337 found at 12s
Seconds: 14, Iteration: 350, Iteration per second: 25.000000, Best solution: 1321839 found at 14s
Seconds: 15, Iteration: 360, Iteration per second: 24.000000, Best solution: 1321839 found at 14s
Seconds: 15, Iteration: 370, Iteration per second: 24.666667, Best solution: 1321839 found at 14s
Seconds: 15, Iteration: 380, Iteration per second: 25.333333, Best solution: 1321839 found at 14s
Seconds: 16, Iteration: 390, Iteration per second: 24.375000, Best solution: 1321839 found at 14s
Seconds: 16, Iteration: 400, Iteration per second: 25.000000, Best solution: 1321839 found at 14s
Seconds: 16, Iteration: 410, Iteration per second: 25.625000, Best solution: 1321839 found at 14s
Seconds: 17, Iteration: 420, Iteration per second: 24.705882, Best solution: 1321839 found at 14s
Seconds: 17, Iteration: 430, Iteration per second: 25.294118, Best solution: 1321839 found at 14s
Seconds: 17, Iteration: 440, Iteration per second: 25.882353, Best solution: 1321839 found at 14s
Seconds: 18, Iteration: 450, Iteration per second: 25.000000, Best solution: 1321839 found at 14s
Seconds: 18, Iteration: 460, Iteration per second: 25.555556, Best solution: 1322324 found at 18s
Seconds: 18, Iteration: 470, Iteration per second: 26.111111, Best solution: 1322324 found at 18s
Seconds: 19, Iteration: 480, Iteration per second: 25.263158, Best solution: 1322324 found at 18s
Seconds: 19, Iteration: 490, Iteration per second: 25.789474, Best solution: 1322324 found at 18s
Seconds: 19, Iteration: 500, Iteration per second: 26.315789, Best solution: 1322324 found at 18s
Seconds: 20, Iteration: 510, Iteration per second: 25.500000, Best solution: 1322324 found at 18s
Seconds: 20, Iteration: 520, Iteration per second: 26.000000, Best solution: 1322324 found at 18s
Seconds: 20, Iteration: 530, Iteration per second: 26.500000, Best solution: 1322324 found at 18s
Seconds: 21, Iteration: 540, Iteration per second: 25.714286, Best solution: 1322324 found at 18s
Seconds: 21, Iteration: 550, Iteration per second: 26.190476, Best solution: 1322324 found at 18s
Seconds: 21, Iteration: 560, Iteration per second: 26.666667, Best solution: 1322324 found at 18s
Seconds: 22, Iteration: 570, Iteration per second: 25.909091, Best solution: 1322324 found at 18s
