Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 1256177 found at 1s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 1256177 found at 1s
Seconds: 2, Iteration: 30, Iteration per second: 15.000000, Best solution: 1257612 found at 2s
Seconds: 3, Iteration: 40, Iteration per second: 13.333333, Best solution: 1258070 found at 2s
Seconds: 3, Iteration: 50, Iteration per second: 16.666667, Best solution: 1259079 found at 3s
Seconds: 4, Iteration: 60, Iteration per second: 15.000000, Best solution: 1259870 found at 3s
Seconds: 4, Iteration: 70, Iteration per second: 17.500000, Best solution: 1268236 found at 4s
Seconds: 5, Iteration: 80, Iteration per second: 16.000000, Best solution: 1268236 found at 4s
Seconds: 5, Iteration: 90, Iteration per second: 18.000000, Best solution: 1268236 found at 4s
Seconds: 5, Iteration: 100, Iteration per second: 20.000000, Best solution: 1268236 found at 4s
Seconds: 6, Iteration: 110, Iteration per second: 18.333333, Best solution: 1270419 found at 6s
Seconds: 6, Iteration: 120, Iteration per second: 20.000000, Best solution: 1270419 found at 6s
Seconds: 7, Iteration: 130, Iteration per second: 18.571429, Best solution: 1271432 found at 7s
Seconds: 7, Iteration: 140, Iteration per second: 20.000000, Best solution: 1275232 found at 7s
Seconds: 8, Iteration: 150, Iteration per second: 18.750000, Best solution: 1275232 found at 7s
Seconds: 8, Iteration: 160, Iteration per second: 20.000000, Best solution: 1275626 found at 8s
Seconds: 9, Iteration: 170, Iteration per second: 18.888889, Best solution: 1278646 found at 9s
Seconds: 9, Iteration: 180, Iteration per second: 20.000000, Best solution: 1278646 found at 9s
Seconds: 10, Iteration: 190, Iteration per second: 19.000000, Best solution: 1279415 found at 9s
Seconds: 10, Iteration: 200, Iteration per second: 20.000000, Best solution: 1280788 found at 10s
Seconds: 11, Iteration: 210, Iteration per second: 19.090909, Best solution: 1280788 found at 10s
Seconds: 11, Iteration: 220, Iteration per second: 20.000000, Best solution: 1280788 found at 10s
Seconds: 12, Iteration: 230, Iteration per second: 19.166667, Best solution: 1280965 found at 12s
Seconds: 12, Iteration: 240, Iteration per second: 20.000000, Best solution: 1280965 found at 12s
Seconds: 13, Iteration: 250, Iteration per second: 19.230769, Best solution: 1285036 found at 12s
Seconds: 13, Iteration: 260, Iteration per second: 20.000000, Best solution: 1285036 found at 12s
Seconds: 14, Iteration: 270, Iteration per second: 19.285714, Best solution: 1285036 found at 12s
Seconds: 14, Iteration: 280, Iteration per second: 20.000000, Best solution: 1285036 found at 12s
Seconds: 15, Iteration: 290, Iteration per second: 19.333333, Best solution: 1285036 found at 12s
Seconds: 15, Iteration: 300, Iteration per second: 20.000000, Best solution: 1285036 found at 12s
Seconds: 16, Iteration: 310, Iteration per second: 19.375000, Best solution: 1285137 found at 15s
Seconds: 16, Iteration: 320, Iteration per second: 20.000000, Best solution: 1285137 found at 15s
Seconds: 16, Iteration: 330, Iteration per second: 20.625000, Best solution: 1285137 found at 15s
Seconds: 17, Iteration: 340, Iteration per second: 20.000000, Best solution: 1285137 found at 15s
Seconds: 17, Iteration: 350, Iteration per second: 20.588235, Best solution: 1285137 found at 15s
Seconds: 18, Iteration: 360, Iteration per second: 20.000000, Best solution: 1285137 found at 15s
Seconds: 18, Iteration: 370, Iteration per second: 20.555556, Best solution: 1285137 found at 15s
Seconds: 19, Iteration: 380, Iteration per second: 20.000000, Best solution: 1285137 found at 15s
Seconds: 19, Iteration: 390, Iteration per second: 20.526316, Best solution: 1285137 found at 15s
Seconds: 20, Iteration: 400, Iteration per second: 20.000000, Best solution: 1285137 found at 15s
Seconds: 20, Iteration: 410, Iteration per second: 20.500000, Best solution: 1285683 found at 20s
Seconds: 21, Iteration: 420, Iteration per second: 20.000000, Best solution: 1285683 found at 20s
Seconds: 21, Iteration: 430, Iteration per second: 20.476190, Best solution: 1286034 found at 21s
Seconds: 22, Iteration: 440, Iteration per second: 20.000000, Best solution: 1286034 found at 21s
Seconds: 22, Iteration: 450, Iteration per second: 20.454545, Best solution: 1286034 found at 21s
Seconds: 23, Iteration: 460, Iteration per second: 20.000000, Best solution: 1286034 found at 21s
Seconds: 23, Iteration: 470, Iteration per second: 20.434783, Best solution: 1287501 found at 23s
Seconds: 23, Iteration: 480, Iteration per second: 20.869565, Best solution: 1287501 found at 23s
Seconds: 24, Iteration: 490, Iteration per second: 20.416667, Best solution: 1287501 found at 23s
Seconds: 24, Iteration: 500, Iteration per second: 20.833333, Best solution: 1287501 found at 23s
Seconds: 25, Iteration: 510, Iteration per second: 20.400000, Best solution: 1287501 found at 23s
Seconds: 25, Iteration: 520, Iteration per second: 20.800000, Best solution: 1287501 found at 23s
