Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 1170259 found at 1s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 1170259 found at 1s
Seconds: 3, Iteration: 30, Iteration per second: 10.000000, Best solution: 1178920 found at 3s
Seconds: 3, Iteration: 40, Iteration per second: 13.333333, Best solution: 1180656 found at 3s
Seconds: 4, Iteration: 50, Iteration per second: 12.500000, Best solution: 1183840 found at 4s
Seconds: 5, Iteration: 60, Iteration per second: 12.000000, Best solution: 1183840 found at 4s
Seconds: 6, Iteration: 70, Iteration per second: 11.666667, Best solution: 1187656 found at 5s
Seconds: 6, Iteration: 80, Iteration per second: 13.333333, Best solution: 1187656 found at 5s
Seconds: 6, Iteration: 90, Iteration per second: 15.000000, Best solution: 1187656 found at 5s
Seconds: 6, Iteration: 100, Iteration per second: 16.666667, Best solution: 1189923 found at 6s
Seconds: 7, Iteration: 110, Iteration per second: 15.714286, Best solution: 1189923 found at 6s
Seconds: 7, Iteration: 120, Iteration per second: 17.142857, Best solution: 1192453 found at 7s
Seconds: 7, Iteration: 130, Iteration per second: 18.571429, Best solution: 1192453 found at 7s
Seconds: 8, Iteration: 140, Iteration per second: 17.500000, Best solution: 1193033 found at 7s
Seconds: 8, Iteration: 150, Iteration per second: 18.750000, Best solution: 1194526 found at 8s
Seconds: 8, Iteration: 160, Iteration per second: 20.000000, Best solution: 1194526 found at 8s
Seconds: 8, Iteration: 170, Iteration per second: 21.250000, Best solution: 1197830 found at 8s
Seconds: 9, Iteration: 180, Iteration per second: 20.000000, Best solution: 1197830 found at 8s
Seconds: 9, Iteration: 190, Iteration per second: 21.111111, Best solution: 1197830 found at 8s
Seconds: 9, Iteration: 200, Iteration per second: 22.222222, Best solution: 1198583 found at 9s
Seconds: 10, Iteration: 210, Iteration per second: 21.000000, Best solution: 1198974 found at 9s
Seconds: 10, Iteration: 220, Iteration per second: 22.000000, Best solution: 1198974 found at 9s
Seconds: 10, Iteration: 230, Iteration per second: 23.000000, Best solution: 1200543 found at 10s
Seconds: 11, Iteration: 240, Iteration per second: 21.818182, Best solution: 1200543 found at 10s
Seconds: 11, Iteration: 250, Iteration per second: 22.727273, Best solution: 1200543 found at 10s
Seconds: 11, Iteration: 260, Iteration per second: 23.636364, Best solution: 1200543 found at 10s
Seconds: 12, Iteration: 270, Iteration per second: 22.500000, Best solution: 1201955 found at 12s
Seconds: 12, Iteration: 280, Iteration per second: 23.333333, Best solution: 1203503 found at 12s
Seconds: 12, Iteration: 290, Iteration per second: 24.166667, Best solution: 1203503 found at 12s
Seconds: 12, Iteration: 300, Iteration per second: 25.000000, Best solution: 1203946 found at 12s
Seconds: 13, Iteration: 310, Iteration per second: 23.846154, Best solution: 1203946 found at 12s
Seconds: 13, Iteration: 320, Iteration per second: 24.615385, Best solution: 1203946 found at 12s
Seconds: 13, Iteration: 330, Iteration per second: 25.384615, Best solution: 1205338 found at 13s
Seconds: 14, Iteration: 340, Iteration per second: 24.285714, Best solution: 1208048 found at 13s
Seconds: 14, Iteration: 350, Iteration per second: 25.000000, Best solution: 1208048 found at 13s
Seconds: 14, Iteration: 360, Iteration per second: 25.714286, Best solution: 1208369 found at 14s
Seconds: 14, Iteration: 370, Iteration per second: 26.428571, Best solution: 1209773 found at 14s
Seconds: 15, Iteration: 380, Iteration per second: 25.333333, Best solution: 1209773 found at 14s
Seconds: 15, Iteration: 390, Iteration per second: 26.000000, Best solution: 1209773 found at 14s
Seconds: 15, Iteration: 400, Iteration per second: 26.666667, Best solution: 1209773 found at 14s
Seconds: 16, Iteration: 410, Iteration per second: 25.625000, Best solution: 1209773 found at 14s
Seconds: 16, Iteration: 420, Iteration per second: 26.250000, Best solution: 1209773 found at 14s
Seconds: 16, Iteration: 430, Iteration per second: 26.875000, Best solution: 1209773 found at 14s
Seconds: 17, Iteration: 440, Iteration per second: 25.882353, Best solution: 1209773 found at 14s
Seconds: 17, Iteration: 450, Iteration per second: 26.470588, Best solution: 1209773 found at 14s
Seconds: 17, Iteration: 460, Iteration per second: 27.058824, Best solution: 1209773 found at 14s
Seconds: 17, Iteration: 470, Iteration per second: 27.647059, Best solution: 1209773 found at 14s
Seconds: 18, Iteration: 480, Iteration per second: 26.666667, Best solution: 1209773 found at 14s
Seconds: 18, Iteration: 490, Iteration per second: 27.222222, Best solution: 1209773 found at 14s
Seconds: 18, Iteration: 500, Iteration per second: 27.777778, Best solution: 1209773 found at 14s
Seconds: 19, Iteration: 510, Iteration per second: 26.842105, Best solution: 1209773 found at 14s
Seconds: 19, Iteration: 520, Iteration per second: 27.368421, Best solution: 1209773 found at 14s
Seconds: 19, Iteration: 530, Iteration per second: 27.894737, Best solution: 1209773 found at 14s
Seconds: 19, Iteration: 540, Iteration per second: 28.421053, Best solution: 1209773 found at 14s
Seconds: 20, Iteration: 550, Iteration per second: 27.500000, Best solution: 1209773 found at 14s
Seconds: 20, Iteration: 560, Iteration per second: 28.000000, Best solution: 1209773 found at 14s
Seconds: 20, Iteration: 570, Iteration per second: 28.500000, Best solution: 1209773 found at 14s
Seconds: 20, Iteration: 580, Iteration per second: 29.000000, Best solution: 1209773 found at 14s
Seconds: 21, Iteration: 590, Iteration per second: 28.095238, Best solution: 1210042 found at 21s
Seconds: 21, Iteration: 600, Iteration per second: 28.571429, Best solution: 1210042 found at 21s
Seconds: 21, Iteration: 610, Iteration per second: 29.047619, Best solution: 1210042 found at 21s
Seconds: 21, Iteration: 620, Iteration per second: 29.523810, Best solution: 1210042 found at 21s
Seconds: 22, Iteration: 630, Iteration per second: 28.636364, Best solution: 1210042 found at 21s
Seconds: 22, Iteration: 640, Iteration per second: 29.090909, Best solution: 1210042 found at 21s
Seconds: 22, Iteration: 650, Iteration per second: 29.545455, Best solution: 1210042 found at 21s
Seconds: 23, Iteration: 660, Iteration per second: 28.695652, Best solution: 1210042 found at 21s
Seconds: 23, Iteration: 670, Iteration per second: 29.130435, Best solution: 1210042 found at 21s
