Running GRASP algorithm...
Seconds: 0, Iteration: 10, Iteration per second: Infinity, Best solution: 38683 found at 0s
Seconds: 1, Iteration: 20, Iteration per second: 20.000000, Best solution: 38839 found at 0s
Seconds: 1, Iteration: 30, Iteration per second: 30.000000, Best solution: 38872 found at 1s
Seconds: 1, Iteration: 40, Iteration per second: 40.000000, Best solution: 38879 found at 1s
Seconds: 1, Iteration: 50, Iteration per second: 50.000000, Best solution: 38879 found at 1s
Seconds: 1, Iteration: 60, Iteration per second: 60.000000, Best solution: 38899 found at 1s
Seconds: 2, Iteration: 70, Iteration per second: 35.000000, Best solution: 38904 found at 1s
Seconds: 2, Iteration: 80, Iteration per second: 40.000000, Best solution: 38904 found at 1s
Seconds: 2, Iteration: 90, Iteration per second: 45.000000, Best solution: 38904 found at 1s
Seconds: 2, Iteration: 100, Iteration per second: 50.000000, Best solution: 38904 found at 1s
Seconds: 2, Iteration: 110, Iteration per second: 55.000000, Best solution: 38904 found at 1s
Seconds: 3, Iteration: 120, Iteration per second: 40.000000, Best solution: 38904 found at 1s
Seconds: 3, Iteration: 130, Iteration per second: 43.333333, Best solution: 38904 found at 1s
Seconds: 3, Iteration: 140, Iteration per second: 46.666667, Best solution: 38914 found at 3s
Seconds: 3, Iteration: 150, Iteration per second: 50.000000, Best solution: 38914 found at 3s
Seconds: 3, Iteration: 160, Iteration per second: 53.333333, Best solution: 38914 found at 3s
Seconds: 3, Iteration: 170, Iteration per second: 56.666667, Best solution: 38914 found at 3s
Seconds: 4, Iteration: 180, Iteration per second: 45.000000, Best solution: 38914 found at 3s
Seconds: 4, Iteration: 190, Iteration per second: 47.500000, Best solution: 38914 found at 3s
Seconds: 4, Iteration: 200, Iteration per second: 50.000000, Best solution: 38921 found at 4s
Seconds: 4, Iteration: 210, Iteration per second: 52.500000, Best solution: 38921 found at 4s
Seconds: 4, Iteration: 220, Iteration per second: 55.000000, Best solution: 38921 found at 4s
Seconds: 5, Iteration: 230, Iteration per second: 46.000000, Best solution: 38921 found at 4s
Seconds: 5, Iteration: 240, Iteration per second: 48.000000, Best solution: 38921 found at 4s
Seconds: 5, Iteration: 250, Iteration per second: 50.000000, Best solution: 38921 found at 4s
Seconds: 5, Iteration: 260, Iteration per second: 52.000000, Best solution: 38921 found at 4s
Seconds: 6, Iteration: 270, Iteration per second: 45.000000, Best solution: 38921 found at 4s
Seconds: 6, Iteration: 280, Iteration per second: 46.666667, Best solution: 38921 found at 4s
Seconds: 6, Iteration: 290, Iteration per second: 48.333333, Best solution: 38921 found at 4s
Seconds: 6, Iteration: 300, Iteration per second: 50.000000, Best solution: 38921 found at 4s
Seconds: 6, Iteration: 310, Iteration per second: 51.666667, Best solution: 38928 found at 6s
Seconds: 7, Iteration: 320, Iteration per second: 45.714286, Best solution: 38928 found at 6s
Seconds: 7, Iteration: 330, Iteration per second: 47.142857, Best solution: 38928 found at 6s
Seconds: 7, Iteration: 340, Iteration per second: 48.571429, Best solution: 38928 found at 6s
Seconds: 7, Iteration: 350, Iteration per second: 50.000000, Best solution: 38928 found at 6s
Seconds: 8, Iteration: 360, Iteration per second: 45.000000, Best solution: 38928 found at 6s
Seconds: 8, Iteration: 370, Iteration per second: 46.250000, Best solution: 38928 found at 6s
Seconds: 8, Iteration: 380, Iteration per second: 47.500000, Best solution: 38928 found at 6s
Seconds: 8, Iteration: 390, Iteration per second: 48.750000, Best solution: 38928 found at 6s
Seconds: 8, Iteration: 400, Iteration per second: 50.000000, Best solution: 38928 found at 6s
Seconds: 9, Iteration: 410, Iteration per second: 45.555556, Best solution: 38928 found at 6s
Seconds: 9, Iteration: 420, Iteration per second: 46.666667, Best solution: 38928 found at 6s
Seconds: 9, Iteration: 430, Iteration per second: 47.777778, Best solution: 38928 found at 6s
Seconds: 9, Iteration: 440, Iteration per second: 48.888889, Best solution: 38928 found at 6s
Seconds: 10, Iteration: 450, Iteration per second: 45.000000, Best solution: 38928 found at 6s
Seconds: 10, Iteration: 460, Iteration per second: 46.000000, Best solution: 38928 found at 6s
Seconds: 10, Iteration: 470, Iteration per second: 47.000000, Best solution: 38928 found at 6s
Seconds: 10, Iteration: 480, Iteration per second: 48.000000, Best solution: 38928 found at 6s
Seconds: 10, Iteration: 490, Iteration per second: 49.000000, Best solution: 38929 found at 10s
Seconds: 10, Iteration: 500, Iteration per second: 50.000000, Best solution: 38930 found at 10s
