Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 247605 found at 1s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 248429 found at 2s
Seconds: 3, Iteration: 30, Iteration per second: 10.000000, Best solution: 248535 found at 3s
Seconds: 4, Iteration: 40, Iteration per second: 10.000000, Best solution: 248863 found at 3s
Seconds: 4, Iteration: 50, Iteration per second: 12.500000, Best solution: 248974 found at 4s
Seconds: 4, Iteration: 60, Iteration per second: 15.000000, Best solution: 249091 found at 4s
Seconds: 5, Iteration: 70, Iteration per second: 14.000000, Best solution: 249091 found at 4s
Seconds: 5, Iteration: 80, Iteration per second: 16.000000, Best solution: 249091 found at 4s
Seconds: 6, Iteration: 90, Iteration per second: 15.000000, Best solution: 249166 found at 5s
Seconds: 6, Iteration: 100, Iteration per second: 16.666667, Best solution: 249166 found at 5s
Seconds: 6, Iteration: 110, Iteration per second: 18.333333, Best solution: 249196 found at 6s
Seconds: 6, Iteration: 120, Iteration per second: 20.000000, Best solution: 249206 found at 6s
Seconds: 7, Iteration: 130, Iteration per second: 18.571429, Best solution: 249287 found at 7s
Seconds: 7, Iteration: 140, Iteration per second: 20.000000, Best solution: 249287 found at 7s
Seconds: 7, Iteration: 150, Iteration per second: 21.428571, Best solution: 249289 found at 7s
Seconds: 8, Iteration: 160, Iteration per second: 20.000000, Best solution: 249332 found at 7s
Seconds: 8, Iteration: 170, Iteration per second: 21.250000, Best solution: 249433 found at 8s
Seconds: 8, Iteration: 180, Iteration per second: 22.500000, Best solution: 249433 found at 8s
Seconds: 9, Iteration: 190, Iteration per second: 21.111111, Best solution: 249433 found at 8s
Seconds: 9, Iteration: 200, Iteration per second: 22.222222, Best solution: 249437 found at 9s
Seconds: 9, Iteration: 210, Iteration per second: 23.333333, Best solution: 249480 found at 9s
Seconds: 9, Iteration: 220, Iteration per second: 24.444444, Best solution: 249552 found at 9s
Seconds: 10, Iteration: 230, Iteration per second: 23.000000, Best solution: 249552 found at 9s
Seconds: 10, Iteration: 240, Iteration per second: 24.000000, Best solution: 249552 found at 9s
Seconds: 11, Iteration: 250, Iteration per second: 22.727273, Best solution: 249654 found at 11s
Seconds: 11, Iteration: 260, Iteration per second: 23.636364, Best solution: 249654 found at 11s
Seconds: 11, Iteration: 270, Iteration per second: 24.545455, Best solution: 249699 found at 11s
Seconds: 11, Iteration: 280, Iteration per second: 25.454545, Best solution: 249794 found at 11s
Seconds: 12, Iteration: 290, Iteration per second: 24.166667, Best solution: 249823 found at 12s
Seconds: 12, Iteration: 300, Iteration per second: 25.000000, Best solution: 249855 found at 12s
Seconds: 12, Iteration: 310, Iteration per second: 25.833333, Best solution: 249855 found at 12s
Seconds: 13, Iteration: 320, Iteration per second: 24.615385, Best solution: 249855 found at 12s
Seconds: 13, Iteration: 330, Iteration per second: 25.384615, Best solution: 249855 found at 12s
Seconds: 13, Iteration: 340, Iteration per second: 26.153846, Best solution: 249915 found at 13s
Seconds: 13, Iteration: 350, Iteration per second: 26.923077, Best solution: 249915 found at 13s
Seconds: 14, Iteration: 360, Iteration per second: 25.714286, Best solution: 249915 found at 13s
Seconds: 14, Iteration: 370, Iteration per second: 26.428571, Best solution: 249915 found at 13s
Seconds: 14, Iteration: 380, Iteration per second: 27.142857, Best solution: 249926 found at 14s
Seconds: 15, Iteration: 390, Iteration per second: 26.000000, Best solution: 249926 found at 14s
Seconds: 15, Iteration: 400, Iteration per second: 26.666667, Best solution: 249926 found at 14s
Seconds: 15, Iteration: 410, Iteration per second: 27.333333, Best solution: 249939 found at 15s
Seconds: 15, Iteration: 420, Iteration per second: 28.000000, Best solution: 249939 found at 15s
Seconds: 16, Iteration: 430, Iteration per second: 26.875000, Best solution: 249939 found at 15s
Seconds: 16, Iteration: 440, Iteration per second: 27.500000, Best solution: 249947 found at 16s
Seconds: 17, Iteration: 450, Iteration per second: 26.470588, Best solution: 249947 found at 16s
Seconds: 17, Iteration: 460, Iteration per second: 27.058824, Best solution: 249953 found at 17s
Seconds: 17, Iteration: 470, Iteration per second: 27.647059, Best solution: 249953 found at 17s
Seconds: 17, Iteration: 480, Iteration per second: 28.235294, Best solution: 250060 found at 17s
Seconds: 18, Iteration: 490, Iteration per second: 27.222222, Best solution: 250085 found at 18s
Seconds: 18, Iteration: 500, Iteration per second: 27.777778, Best solution: 250085 found at 18s
Seconds: 18, Iteration: 510, Iteration per second: 28.333333, Best solution: 250085 found at 18s
Seconds: 19, Iteration: 520, Iteration per second: 27.368421, Best solution: 250085 found at 18s
Seconds: 19, Iteration: 530, Iteration per second: 27.894737, Best solution: 250085 found at 18s
Seconds: 19, Iteration: 540, Iteration per second: 28.421053, Best solution: 250085 found at 18s
Seconds: 19, Iteration: 550, Iteration per second: 28.947368, Best solution: 250085 found at 18s
Seconds: 20, Iteration: 560, Iteration per second: 28.000000, Best solution: 250085 found at 18s
Seconds: 20, Iteration: 570, Iteration per second: 28.500000, Best solution: 250085 found at 18s
Seconds: 20, Iteration: 580, Iteration per second: 29.000000, Best solution: 250116 found at 20s
Seconds: 21, Iteration: 590, Iteration per second: 28.095238, Best solution: 250116 found at 20s
Seconds: 21, Iteration: 600, Iteration per second: 28.571429, Best solution: 250116 found at 20s
Seconds: 21, Iteration: 610, Iteration per second: 29.047619, Best solution: 250116 found at 20s
Seconds: 21, Iteration: 620, Iteration per second: 29.523810, Best solution: 250116 found at 20s
Seconds: 22, Iteration: 630, Iteration per second: 28.636364, Best solution: 250116 found at 20s
Seconds: 22, Iteration: 640, Iteration per second: 29.090909, Best solution: 250123 found at 22s
Seconds: 22, Iteration: 650, Iteration per second: 29.545455, Best solution: 250137 found at 22s
Seconds: 23, Iteration: 660, Iteration per second: 28.695652, Best solution: 250137 found at 22s
Seconds: 23, Iteration: 670, Iteration per second: 29.130435, Best solution: 250137 found at 22s
Seconds: 23, Iteration: 680, Iteration per second: 29.565217, Best solution: 250137 found at 22s
Seconds: 23, Iteration: 690, Iteration per second: 30.000000, Best solution: 250137 found at 22s
Seconds: 24, Iteration: 700, Iteration per second: 29.166667, Best solution: 250137 found at 22s
Seconds: 24, Iteration: 710, Iteration per second: 29.583333, Best solution: 250137 found at 22s
