Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 0, Total Iterations: 100, Iteration per second: Infinity, Best solution: 374096 found at 0s
Seconds: 1, Total Iterations: 200, Iteration per second: 200.000000, Best solution: 374097 found at 1s
Seconds: 1, Total Iterations: 300, Iteration per second: 300.000000, Best solution: 374097 found at 1s
Seconds: 1, Total Iterations: 400, Iteration per second: 400.000000, Best solution: 374097 found at 1s
Seconds: 1, Total Iterations: 500, Iteration per second: 500.000000, Best solution: 374097 found at 1s
Seconds: 1, Total Iterations: 600, Iteration per second: 600.000000, Best solution: 374099 found at 1s
Seconds: 1, Total Iterations: 700, Iteration per second: 700.000000, Best solution: 374099 found at 1s
Seconds: 1, Total Iterations: 800, Iteration per second: 800.000000, Best solution: 374099 found at 1s
Seconds: 1, Total Iterations: 900, Iteration per second: 900.000000, Best solution: 374099 found at 1s
Seconds: 1, Total Iterations: 1000, Iteration per second: 1000.000000, Best solution: 374099 found at 1s
Seconds: 1, Total Iterations: 1100, Iteration per second: 1100.000000, Best solution: 374099 found at 1s
Seconds: 1, Total Iterations: 1200, Iteration per second: 1200.000000, Best solution: 374100 found at 1s
Seconds: 1, Total Iterations: 1300, Iteration per second: 1300.000000, Best solution: 374100 found at 1s
Seconds: 1, Total Iterations: 1400, Iteration per second: 1400.000000, Best solution: 374100 found at 1s
Seconds: 1, Total Iterations: 1500, Iteration per second: 1500.000000, Best solution: 374100 found at 1s
Seconds: 1, Total Iterations: 1600, Iteration per second: 1600.000000, Best solution: 374100 found at 1s
Seconds: 1, Total Iterations: 1700, Iteration per second: 1700.000000, Best solution: 374100 found at 1s
Seconds: 2, Total Iterations: 1800, Iteration per second: 900.000000, Best solution: 374100 found at 1s
Seconds: 2, Total Iterations: 1900, Iteration per second: 950.000000, Best solution: 374100 found at 1s
Seconds: 2, Total Iterations: 2000, Iteration per second: 1000.000000, Best solution: 374100 found at 1s
Seconds: 2, Total Iterations: 2100, Iteration per second: 1050.000000, Best solution: 374100 found at 1s
Seconds: 2, Total Iterations: 2200, Iteration per second: 1100.000000, Best solution: 374100 found at 1s
Seconds: 2, Total Iterations: 2300, Iteration per second: 1150.000000, Best solution: 374100 found at 1s
Seconds: 2, Total Iterations: 2400, Iteration per second: 1200.000000, Best solution: 374100 found at 1s
Seconds: 2, Total Iterations: 2500, Iteration per second: 1250.000000, Best solution: 374100 found at 1s
Seconds: 2, Total Iterations: 2600, Iteration per second: 1300.000000, Best solution: 374100 found at 1s
Seconds: 2, Total Iterations: 2700, Iteration per second: 1350.000000, Best solution: 374100 found at 1s
Seconds: 2, Total Iterations: 2800, Iteration per second: 1400.000000, Best solution: 374100 found at 1s
Seconds: 2, Total Iterations: 2900, Iteration per second: 1450.000000, Best solution: 374100 found at 1s
Seconds: 2, Total Iterations: 3000, Iteration per second: 1500.000000, Best solution: 374100 found at 1s
Seconds: 2, Total Iterations: 3100, Iteration per second: 1550.000000, Best solution: 374100 found at 1s
Seconds: 2, Total Iterations: 3200, Iteration per second: 1600.000000, Best solution: 374100 found at 1s
Seconds: 2, Total Iterations: 3300, Iteration per second: 1650.000000, Best solution: 374100 found at 1s
Seconds: 2, Total Iterations: 3400, Iteration per second: 1700.000000, Best solution: 374100 found at 1s
Seconds: 2, Total Iterations: 3500, Iteration per second: 1750.000000, Best solution: 374100 found at 1s
Seconds: 3, Total Iterations: 3600, Iteration per second: 1200.000000, Best solution: 374100 found at 1s
Seconds: 3, Total Iterations: 3700, Iteration per second: 1233.333333, Best solution: 374100 found at 1s
Seconds: 3, Total Iterations: 3800, Iteration per second: 1266.666667, Best solution: 374100 found at 1s
Seconds: 3, Total Iterations: 3900, Iteration per second: 1300.000000, Best solution: 374100 found at 1s
