Running GRASP algorithm...
Running with 1 threads (Available processors: 1).
Seconds: 2, Total Iterations: 100, Iteration per second: 50.000000, Best solution: 530199 found at 1s
Seconds: 3, Total Iterations: 200, Iteration per second: 66.666667, Best solution: 531285 found at 3s
Seconds: 4, Total Iterations: 300, Iteration per second: 75.000000, Best solution: 531518 found at 4s
Seconds: 5, Total Iterations: 400, Iteration per second: 80.000000, Best solution: 531536 found at 5s
Seconds: 6, Total Iterations: 500, Iteration per second: 83.333333, Best solution: 531536 found at 5s
Seconds: 6, Total Iterations: 600, Iteration per second: 100.000000, Best solution: 531536 found at 5s
Seconds: 7, Total Iterations: 700, Iteration per second: 100.000000, Best solution: 531536 found at 5s
Seconds: 7, Total Iterations: 800, Iteration per second: 114.285714, Best solution: 531536 found at 5s
Seconds: 8, Total Iterations: 900, Iteration per second: 112.500000, Best solution: 533505 found at 7s
Seconds: 8, Total Iterations: 1000, Iteration per second: 125.000000, Best solution: 533552 found at 8s
Seconds: 9, Total Iterations: 1100, Iteration per second: 122.222222, Best solution: 533810 found at 8s
Seconds: 9, Total Iterations: 1200, Iteration per second: 133.333333, Best solution: 533838 found at 9s
Seconds: 10, Total Iterations: 1300, Iteration per second: 130.000000, Best solution: 534124 found at 9s
Seconds: 10, Total Iterations: 1400, Iteration per second: 140.000000, Best solution: 534124 found at 9s
Seconds: 11, Total Iterations: 1500, Iteration per second: 136.363636, Best solution: 534124 found at 9s
Seconds: 11, Total Iterations: 1600, Iteration per second: 145.454545, Best solution: 534389 found at 11s
Seconds: 12, Total Iterations: 1700, Iteration per second: 141.666667, Best solution: 534389 found at 11s
Seconds: 12, Total Iterations: 1800, Iteration per second: 150.000000, Best solution: 534389 found at 11s
Seconds: 13, Total Iterations: 1900, Iteration per second: 146.153846, Best solution: 534389 found at 11s
Seconds: 13, Total Iterations: 2000, Iteration per second: 153.846154, Best solution: 534389 found at 11s
Seconds: 14, Total Iterations: 2100, Iteration per second: 150.000000, Best solution: 534389 found at 11s
Seconds: 14, Total Iterations: 2200, Iteration per second: 157.142857, Best solution: 534389 found at 11s
Seconds: 15, Total Iterations: 2300, Iteration per second: 153.333333, Best solution: 534389 found at 11s
Seconds: 15, Total Iterations: 2400, Iteration per second: 160.000000, Best solution: 534389 found at 11s
Seconds: 16, Total Iterations: 2500, Iteration per second: 156.250000, Best solution: 534389 found at 11s
Seconds: 16, Total Iterations: 2600, Iteration per second: 162.500000, Best solution: 534747 found at 16s
Seconds: 17, Total Iterations: 2700, Iteration per second: 158.823529, Best solution: 534747 found at 16s
Seconds: 17, Total Iterations: 2800, Iteration per second: 164.705882, Best solution: 534747 found at 16s
Seconds: 18, Total Iterations: 2900, Iteration per second: 161.111111, Best solution: 534747 found at 16s
Seconds: 18, Total Iterations: 3000, Iteration per second: 166.666667, Best solution: 534747 found at 16s
Seconds: 18, Total Iterations: 3100, Iteration per second: 172.222222, Best solution: 534747 found at 16s
Seconds: 19, Total Iterations: 3200, Iteration per second: 168.421053, Best solution: 534747 found at 16s
Seconds: 19, Total Iterations: 3300, Iteration per second: 173.684211, Best solution: 534747 found at 16s
Seconds: 20, Total Iterations: 3400, Iteration per second: 170.000000, Best solution: 534747 found at 16s
Seconds: 20, Total Iterations: 3500, Iteration per second: 175.000000, Best solution: 534747 found at 16s
Seconds: 21, Total Iterations: 3600, Iteration per second: 171.428571, Best solution: 534747 found at 16s
Seconds: 21, Total Iterations: 3700, Iteration per second: 176.190476, Best solution: 534747 found at 16s
Seconds: 22, Total Iterations: 3800, Iteration per second: 172.727273, Best solution: 534747 found at 16s
Seconds: 22, Total Iterations: 3900, Iteration per second: 177.272727, Best solution: 534747 found at 16s
Seconds: 23, Total Iterations: 4000, Iteration per second: 173.913043, Best solution: 534747 found at 16s
Seconds: 23, Total Iterations: 4100, Iteration per second: 178.260870, Best solution: 534747 found at 16s
Seconds: 24, Total Iterations: 4200, Iteration per second: 175.000000, Best solution: 534747 found at 16s
Seconds: 24, Total Iterations: 4300, Iteration per second: 179.166667, Best solution: 534747 found at 16s
Seconds: 25, Total Iterations: 4400, Iteration per second: 176.000000, Best solution: 534747 found at 16s
Seconds: 25, Total Iterations: 4500, Iteration per second: 180.000000, Best solution: 534747 found at 16s
Seconds: 26, Total Iterations: 4600, Iteration per second: 176.923077, Best solution: 534747 found at 16s
Seconds: 26, Total Iterations: 4700, Iteration per second: 180.769231, Best solution: 534747 found at 16s
Seconds: 27, Total Iterations: 4800, Iteration per second: 177.777778, Best solution: 534747 found at 16s
Seconds: 27, Total Iterations: 4900, Iteration per second: 181.481481, Best solution: 534747 found at 16s
Seconds: 28, Total Iterations: 5000, Iteration per second: 178.571429, Best solution: 534747 found at 16s
Seconds: 28, Total Iterations: 5100, Iteration per second: 182.142857, Best solution: 534747 found at 16s
Seconds: 28, Total Iterations: 5200, Iteration per second: 185.714286, Best solution: 534747 found at 16s
Seconds: 29, Total Iterations: 5300, Iteration per second: 182.758621, Best solution: 534747 found at 16s
Seconds: 29, Total Iterations: 5400, Iteration per second: 186.206897, Best solution: 534747 found at 16s
Seconds: 30, Total Iterations: 5500, Iteration per second: 183.333333, Best solution: 534747 found at 16s
