Running GRASP algorithm...
Seconds: 0, Iteration: 10, Iteration per second: Infinity, Best solution: 954877 found at 0s
Seconds: 1, Iteration: 20, Iteration per second: 20.000000, Best solution: 954877 found at 0s
Seconds: 1, Iteration: 30, Iteration per second: 30.000000, Best solution: 954877 found at 0s
Seconds: 1, Iteration: 40, Iteration per second: 40.000000, Best solution: 968607 found at 1s
Seconds: 2, Iteration: 50, Iteration per second: 25.000000, Best solution: 968607 found at 1s
Seconds: 2, Iteration: 60, Iteration per second: 30.000000, Best solution: 968607 found at 1s
Seconds: 2, Iteration: 70, Iteration per second: 35.000000, Best solution: 969332 found at 2s
Seconds: 3, Iteration: 80, Iteration per second: 26.666667, Best solution: 969332 found at 2s
Seconds: 3, Iteration: 90, Iteration per second: 30.000000, Best solution: 970176 found at 3s
Seconds: 4, Iteration: 100, Iteration per second: 25.000000, Best solution: 970473 found at 4s
Seconds: 4, Iteration: 110, Iteration per second: 27.500000, Best solution: 973740 found at 4s
Seconds: 4, Iteration: 120, Iteration per second: 30.000000, Best solution: 973740 found at 4s
Seconds: 5, Iteration: 130, Iteration per second: 26.000000, Best solution: 978559 found at 5s
Seconds: 5, Iteration: 140, Iteration per second: 28.000000, Best solution: 979553 found at 5s
Seconds: 5, Iteration: 150, Iteration per second: 30.000000, Best solution: 979553 found at 5s
Seconds: 6, Iteration: 160, Iteration per second: 26.666667, Best solution: 981208 found at 5s
Seconds: 6, Iteration: 170, Iteration per second: 28.333333, Best solution: 981208 found at 5s
Seconds: 6, Iteration: 180, Iteration per second: 30.000000, Best solution: 981442 found at 6s
Seconds: 7, Iteration: 190, Iteration per second: 27.142857, Best solution: 981442 found at 6s
Seconds: 7, Iteration: 200, Iteration per second: 28.571429, Best solution: 981442 found at 6s
Seconds: 8, Iteration: 210, Iteration per second: 26.250000, Best solution: 981442 found at 6s
Seconds: 8, Iteration: 220, Iteration per second: 27.500000, Best solution: 981442 found at 6s
Seconds: 8, Iteration: 230, Iteration per second: 28.750000, Best solution: 981480 found at 8s
Seconds: 9, Iteration: 240, Iteration per second: 26.666667, Best solution: 981652 found at 9s
Seconds: 9, Iteration: 250, Iteration per second: 27.777778, Best solution: 982203 found at 9s
Seconds: 9, Iteration: 260, Iteration per second: 28.888889, Best solution: 982203 found at 9s
Seconds: 10, Iteration: 270, Iteration per second: 27.000000, Best solution: 982203 found at 9s
Seconds: 10, Iteration: 280, Iteration per second: 28.000000, Best solution: 982203 found at 9s
Seconds: 10, Iteration: 290, Iteration per second: 29.000000, Best solution: 982203 found at 9s
Seconds: 11, Iteration: 300, Iteration per second: 27.272727, Best solution: 982203 found at 9s
Seconds: 11, Iteration: 310, Iteration per second: 28.181818, Best solution: 982203 found at 9s
