Running GRASP algorithm...
Seconds: 0, Iteration: 10, Iteration per second: Infinity, Best solution: 397975 found at 0s
Seconds: 1, Iteration: 20, Iteration per second: 20.000000, Best solution: 400229 found at 0s
Seconds: 1, Iteration: 30, Iteration per second: 30.000000, Best solution: 401825 found at 1s
Seconds: 1, Iteration: 40, Iteration per second: 40.000000, Best solution: 401952 found at 1s
Seconds: 2, Iteration: 50, Iteration per second: 25.000000, Best solution: 402146 found at 2s
Seconds: 2, Iteration: 60, Iteration per second: 30.000000, Best solution: 403275 found at 2s
Seconds: 2, Iteration: 70, Iteration per second: 35.000000, Best solution: 403275 found at 2s
Seconds: 3, Iteration: 80, Iteration per second: 26.666667, Best solution: 403523 found at 3s
Seconds: 3, Iteration: 90, Iteration per second: 30.000000, Best solution: 403523 found at 3s
Seconds: 3, Iteration: 100, Iteration per second: 33.333333, Best solution: 403523 found at 3s
Seconds: 3, Iteration: 110, Iteration per second: 36.666667, Best solution: 403523 found at 3s
Seconds: 4, Iteration: 120, Iteration per second: 30.000000, Best solution: 403523 found at 3s
Seconds: 4, Iteration: 130, Iteration per second: 32.500000, Best solution: 403523 found at 3s
Seconds: 4, Iteration: 140, Iteration per second: 35.000000, Best solution: 403569 found at 4s
Seconds: 5, Iteration: 150, Iteration per second: 30.000000, Best solution: 403591 found at 5s
Seconds: 5, Iteration: 160, Iteration per second: 32.000000, Best solution: 403591 found at 5s
Seconds: 5, Iteration: 170, Iteration per second: 34.000000, Best solution: 404837 found at 5s
Seconds: 5, Iteration: 180, Iteration per second: 36.000000, Best solution: 404837 found at 5s
Seconds: 6, Iteration: 190, Iteration per second: 31.666667, Best solution: 404860 found at 6s
Seconds: 6, Iteration: 200, Iteration per second: 33.333333, Best solution: 404860 found at 6s
Seconds: 6, Iteration: 210, Iteration per second: 35.000000, Best solution: 404898 found at 6s
Seconds: 7, Iteration: 220, Iteration per second: 31.428571, Best solution: 404898 found at 6s
Seconds: 7, Iteration: 230, Iteration per second: 32.857143, Best solution: 404898 found at 6s
Seconds: 7, Iteration: 240, Iteration per second: 34.285714, Best solution: 405235 found at 7s
Seconds: 7, Iteration: 250, Iteration per second: 35.714286, Best solution: 405342 found at 7s
Seconds: 8, Iteration: 260, Iteration per second: 32.500000, Best solution: 405342 found at 7s
Seconds: 8, Iteration: 270, Iteration per second: 33.750000, Best solution: 405342 found at 7s
Seconds: 8, Iteration: 280, Iteration per second: 35.000000, Best solution: 405342 found at 7s
Seconds: 9, Iteration: 290, Iteration per second: 32.222222, Best solution: 405342 found at 7s
Seconds: 9, Iteration: 300, Iteration per second: 33.333333, Best solution: 405342 found at 7s
Seconds: 9, Iteration: 310, Iteration per second: 34.444444, Best solution: 405342 found at 7s
Seconds: 9, Iteration: 320, Iteration per second: 35.555556, Best solution: 405342 found at 7s
Seconds: 10, Iteration: 330, Iteration per second: 33.000000, Best solution: 405391 found at 10s
Seconds: 10, Iteration: 340, Iteration per second: 34.000000, Best solution: 405391 found at 10s
Seconds: 10, Iteration: 350, Iteration per second: 35.000000, Best solution: 405645 found at 10s
Seconds: 11, Iteration: 360, Iteration per second: 32.727273, Best solution: 405669 found at 11s
Seconds: 11, Iteration: 370, Iteration per second: 33.636364, Best solution: 405669 found at 11s
Seconds: 11, Iteration: 380, Iteration per second: 34.545455, Best solution: 405669 found at 11s
Seconds: 11, Iteration: 390, Iteration per second: 35.454545, Best solution: 406464 found at 11s
Seconds: 12, Iteration: 400, Iteration per second: 33.333333, Best solution: 407259 found at 12s
Seconds: 12, Iteration: 410, Iteration per second: 34.166667, Best solution: 407259 found at 12s
Seconds: 12, Iteration: 420, Iteration per second: 35.000000, Best solution: 407404 found at 12s
Seconds: 13, Iteration: 430, Iteration per second: 33.076923, Best solution: 407404 found at 12s
Seconds: 13, Iteration: 440, Iteration per second: 33.846154, Best solution: 407404 found at 12s
Seconds: 13, Iteration: 450, Iteration per second: 34.615385, Best solution: 407404 found at 12s
Seconds: 13, Iteration: 460, Iteration per second: 35.384615, Best solution: 407444 found at 13s
Seconds: 14, Iteration: 470, Iteration per second: 33.571429, Best solution: 407444 found at 13s
Seconds: 14, Iteration: 480, Iteration per second: 34.285714, Best solution: 407494 found at 14s
Seconds: 14, Iteration: 490, Iteration per second: 35.000000, Best solution: 407494 found at 14s
Seconds: 15, Iteration: 500, Iteration per second: 33.333333, Best solution: 407516 found at 14s
Seconds: 15, Iteration: 510, Iteration per second: 34.000000, Best solution: 407516 found at 14s
Seconds: 15, Iteration: 520, Iteration per second: 34.666667, Best solution: 407516 found at 14s
Seconds: 15, Iteration: 530, Iteration per second: 35.333333, Best solution: 407521 found at 15s
Seconds: 16, Iteration: 540, Iteration per second: 33.750000, Best solution: 407521 found at 15s
Seconds: 16, Iteration: 550, Iteration per second: 34.375000, Best solution: 407521 found at 15s
Seconds: 16, Iteration: 560, Iteration per second: 35.000000, Best solution: 407532 found at 16s
Seconds: 16, Iteration: 570, Iteration per second: 35.625000, Best solution: 407532 found at 16s
Seconds: 17, Iteration: 580, Iteration per second: 34.117647, Best solution: 407532 found at 16s
Seconds: 17, Iteration: 590, Iteration per second: 34.705882, Best solution: 407532 found at 16s
