Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 2, Total Iterations: 100, Iteration per second: 50.000000, Best solution: 879737 found at 2s
Seconds: 3, Total Iterations: 200, Iteration per second: 66.666667, Best solution: 881610 found at 3s
Seconds: 3, Total Iterations: 300, Iteration per second: 100.000000, Best solution: 882062 found at 3s
Seconds: 4, Total Iterations: 400, Iteration per second: 100.000000, Best solution: 882501 found at 4s
Seconds: 4, Total Iterations: 500, Iteration per second: 125.000000, Best solution: 882758 found at 4s
Seconds: 5, Total Iterations: 600, Iteration per second: 120.000000, Best solution: 883117 found at 5s
Seconds: 5, Total Iterations: 700, Iteration per second: 140.000000, Best solution: 883446 found at 5s
Seconds: 5, Total Iterations: 800, Iteration per second: 160.000000, Best solution: 883616 found at 5s
Seconds: 6, Total Iterations: 900, Iteration per second: 150.000000, Best solution: 884055 found at 6s
Seconds: 6, Total Iterations: 1000, Iteration per second: 166.666667, Best solution: 884156 found at 6s
Seconds: 7, Total Iterations: 1100, Iteration per second: 157.142857, Best solution: 884210 found at 7s
Seconds: 7, Total Iterations: 1200, Iteration per second: 171.428571, Best solution: 884230 found at 7s
Seconds: 7, Total Iterations: 1300, Iteration per second: 185.714286, Best solution: 884695 found at 7s
Seconds: 8, Total Iterations: 1400, Iteration per second: 175.000000, Best solution: 884793 found at 8s
Seconds: 8, Total Iterations: 1500, Iteration per second: 187.500000, Best solution: 884793 found at 8s
Seconds: 9, Total Iterations: 1600, Iteration per second: 177.777778, Best solution: 884803 found at 8s
Seconds: 9, Total Iterations: 1700, Iteration per second: 188.888889, Best solution: 885069 found at 9s
Seconds: 9, Total Iterations: 1800, Iteration per second: 200.000000, Best solution: 885095 found at 9s
Seconds: 10, Total Iterations: 1900, Iteration per second: 190.000000, Best solution: 885183 found at 10s
Seconds: 10, Total Iterations: 2000, Iteration per second: 200.000000, Best solution: 885229 found at 10s
Seconds: 11, Total Iterations: 2100, Iteration per second: 190.909091, Best solution: 885259 found at 10s
Seconds: 11, Total Iterations: 2200, Iteration per second: 200.000000, Best solution: 885287 found at 11s
Seconds: 11, Total Iterations: 2300, Iteration per second: 209.090909, Best solution: 885372 found at 11s
Seconds: 12, Total Iterations: 2400, Iteration per second: 200.000000, Best solution: 885372 found at 11s
Seconds: 12, Total Iterations: 2500, Iteration per second: 208.333333, Best solution: 885391 found at 12s
Seconds: 13, Total Iterations: 2600, Iteration per second: 200.000000, Best solution: 885463 found at 12s
Seconds: 13, Total Iterations: 2700, Iteration per second: 207.692308, Best solution: 885463 found at 12s
Seconds: 13, Total Iterations: 2800, Iteration per second: 215.384615, Best solution: 885463 found at 12s
Seconds: 14, Total Iterations: 2900, Iteration per second: 207.142857, Best solution: 885463 found at 12s
Seconds: 14, Total Iterations: 3000, Iteration per second: 214.285714, Best solution: 885464 found at 14s
Seconds: 15, Total Iterations: 3100, Iteration per second: 206.666667, Best solution: 885464 found at 14s
Seconds: 15, Total Iterations: 3200, Iteration per second: 213.333333, Best solution: 885464 found at 14s
Seconds: 15, Total Iterations: 3300, Iteration per second: 220.000000, Best solution: 885464 found at 14s
Seconds: 16, Total Iterations: 3400, Iteration per second: 212.500000, Best solution: 885510 found at 16s
Seconds: 16, Total Iterations: 3500, Iteration per second: 218.750000, Best solution: 885533 found at 16s
Seconds: 17, Total Iterations: 3600, Iteration per second: 211.764706, Best solution: 885533 found at 16s
Seconds: 17, Total Iterations: 3700, Iteration per second: 217.647059, Best solution: 885533 found at 16s
Seconds: 18, Total Iterations: 3800, Iteration per second: 211.111111, Best solution: 885533 found at 16s
Seconds: 18, Total Iterations: 3900, Iteration per second: 216.666667, Best solution: 885534 found at 18s
Seconds: 18, Total Iterations: 4000, Iteration per second: 222.222222, Best solution: 885534 found at 18s
Seconds: 19, Total Iterations: 4100, Iteration per second: 215.789474, Best solution: 885534 found at 18s
Seconds: 19, Total Iterations: 4200, Iteration per second: 221.052632, Best solution: 885534 found at 18s
Seconds: 20, Total Iterations: 4300, Iteration per second: 215.000000, Best solution: 885534 found at 18s
Seconds: 20, Total Iterations: 4400, Iteration per second: 220.000000, Best solution: 885535 found at 20s
Seconds: 20, Total Iterations: 4500, Iteration per second: 225.000000, Best solution: 885535 found at 20s
Seconds: 21, Total Iterations: 4600, Iteration per second: 219.047619, Best solution: 885535 found at 20s
Seconds: 21, Total Iterations: 4700, Iteration per second: 223.809524, Best solution: 885535 found at 20s
Seconds: 22, Total Iterations: 4800, Iteration per second: 218.181818, Best solution: 885535 found at 20s
Seconds: 22, Total Iterations: 4900, Iteration per second: 222.727273, Best solution: 885535 found at 20s
Seconds: 22, Total Iterations: 5000, Iteration per second: 227.272727, Best solution: 885750 found at 22s
Seconds: 23, Total Iterations: 5100, Iteration per second: 221.739130, Best solution: 885773 found at 23s
Seconds: 23, Total Iterations: 5200, Iteration per second: 226.086957, Best solution: 885773 found at 23s
Seconds: 24, Total Iterations: 5300, Iteration per second: 220.833333, Best solution: 885787 found at 24s
Seconds: 24, Total Iterations: 5400, Iteration per second: 225.000000, Best solution: 885812 found at 24s
