Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 0, Total Iterations: 100, Iteration per second: Infinity, Best solution: 440944 found at 0s
Seconds: 1, Total Iterations: 200, Iteration per second: 200.000000, Best solution: 447023 found at 1s
Seconds: 1, Total Iterations: 300, Iteration per second: 300.000000, Best solution: 450827 found at 1s
Seconds: 1, Total Iterations: 400, Iteration per second: 400.000000, Best solution: 451830 found at 1s
Seconds: 1, Total Iterations: 500, Iteration per second: 500.000000, Best solution: 452720 found at 1s
Seconds: 1, Total Iterations: 600, Iteration per second: 600.000000, Best solution: 452720 found at 1s
Seconds: 1, Total Iterations: 700, Iteration per second: 700.000000, Best solution: 452720 found at 1s
Seconds: 1, Total Iterations: 800, Iteration per second: 800.000000, Best solution: 452720 found at 1s
Seconds: 1, Total Iterations: 900, Iteration per second: 900.000000, Best solution: 452720 found at 1s
Seconds: 1, Total Iterations: 1000, Iteration per second: 1000.000000, Best solution: 453105 found at 1s
Seconds: 1, Total Iterations: 1100, Iteration per second: 1100.000000, Best solution: 453105 found at 1s
Seconds: 1, Total Iterations: 1200, Iteration per second: 1200.000000, Best solution: 453105 found at 1s
Seconds: 1, Total Iterations: 1300, Iteration per second: 1300.000000, Best solution: 453105 found at 1s
Seconds: 1, Total Iterations: 1400, Iteration per second: 1400.000000, Best solution: 453105 found at 1s
Seconds: 1, Total Iterations: 1500, Iteration per second: 1500.000000, Best solution: 453129 found at 1s
Seconds: 1, Total Iterations: 1600, Iteration per second: 1600.000000, Best solution: 453848 found at 1s
Seconds: 1, Total Iterations: 1700, Iteration per second: 1700.000000, Best solution: 454140 found at 1s
Seconds: 1, Total Iterations: 1800, Iteration per second: 1800.000000, Best solution: 454142 found at 1s
Seconds: 1, Total Iterations: 1900, Iteration per second: 1900.000000, Best solution: 454142 found at 1s
Seconds: 1, Total Iterations: 2000, Iteration per second: 2000.000000, Best solution: 454142 found at 1s
Seconds: 1, Total Iterations: 2100, Iteration per second: 2100.000000, Best solution: 454142 found at 1s
Seconds: 1, Total Iterations: 2200, Iteration per second: 2200.000000, Best solution: 454994 found at 1s
Seconds: 1, Total Iterations: 2300, Iteration per second: 2300.000000, Best solution: 454994 found at 1s
Seconds: 1, Total Iterations: 2400, Iteration per second: 2400.000000, Best solution: 454994 found at 1s
Seconds: 1, Total Iterations: 2500, Iteration per second: 2500.000000, Best solution: 454994 found at 1s
Seconds: 1, Total Iterations: 2600, Iteration per second: 2600.000000, Best solution: 455126 found at 1s
Seconds: 1, Total Iterations: 2700, Iteration per second: 2700.000000, Best solution: 455938 found at 1s
Seconds: 1, Total Iterations: 2800, Iteration per second: 2800.000000, Best solution: 455938 found at 1s
Seconds: 1, Total Iterations: 2900, Iteration per second: 2900.000000, Best solution: 455938 found at 1s
Seconds: 1, Total Iterations: 3000, Iteration per second: 3000.000000, Best solution: 455938 found at 1s
Seconds: 1, Total Iterations: 3100, Iteration per second: 3100.000000, Best solution: 455938 found at 1s
Seconds: 1, Total Iterations: 3200, Iteration per second: 3200.000000, Best solution: 455938 found at 1s
Seconds: 1, Total Iterations: 3300, Iteration per second: 3300.000000, Best solution: 455938 found at 1s
Seconds: 1, Total Iterations: 3400, Iteration per second: 3400.000000, Best solution: 455938 found at 1s
Seconds: 1, Total Iterations: 3500, Iteration per second: 3500.000000, Best solution: 456068 found at 1s
Seconds: 1, Total Iterations: 3600, Iteration per second: 3600.000000, Best solution: 456069 found at 1s
Seconds: 1, Total Iterations: 3700, Iteration per second: 3700.000000, Best solution: 456069 found at 1s
Seconds: 1, Total Iterations: 3800, Iteration per second: 3800.000000, Best solution: 456069 found at 1s
Seconds: 1, Total Iterations: 3900, Iteration per second: 3900.000000, Best solution: 456069 found at 1s
Seconds: 1, Total Iterations: 4000, Iteration per second: 4000.000000, Best solution: 456069 found at 1s
Seconds: 1, Total Iterations: 4100, Iteration per second: 4100.000000, Best solution: 456069 found at 1s
Seconds: 1, Total Iterations: 4200, Iteration per second: 4200.000000, Best solution: 456069 found at 1s
Seconds: 1, Total Iterations: 4300, Iteration per second: 4300.000000, Best solution: 456072 found at 1s
