Running GRASP algorithm...
Seconds: 0, Iteration: 10, Iteration per second: Infinity, Best solution: 1379255 found at 0s
Seconds: 1, Iteration: 20, Iteration per second: 20.000000, Best solution: 1384777 found at 0s
Seconds: 1, Iteration: 30, Iteration per second: 30.000000, Best solution: 1393066 found at 1s
Seconds: 1, Iteration: 40, Iteration per second: 40.000000, Best solution: 1393066 found at 1s
Seconds: 1, Iteration: 50, Iteration per second: 50.000000, Best solution: 1393066 found at 1s
Seconds: 2, Iteration: 60, Iteration per second: 30.000000, Best solution: 1399641 found at 2s
Seconds: 2, Iteration: 70, Iteration per second: 35.000000, Best solution: 1407702 found at 2s
Seconds: 2, Iteration: 80, Iteration per second: 40.000000, Best solution: 1407702 found at 2s
Seconds: 2, Iteration: 90, Iteration per second: 45.000000, Best solution: 1407702 found at 2s
Seconds: 3, Iteration: 100, Iteration per second: 33.333333, Best solution: 1407884 found at 2s
Seconds: 3, Iteration: 110, Iteration per second: 36.666667, Best solution: 1407884 found at 2s
Seconds: 3, Iteration: 120, Iteration per second: 40.000000, Best solution: 1411036 found at 3s
Seconds: 3, Iteration: 130, Iteration per second: 43.333333, Best solution: 1423495 found at 3s
Seconds: 3, Iteration: 140, Iteration per second: 46.666667, Best solution: 1427069 found at 3s
Seconds: 3, Iteration: 150, Iteration per second: 50.000000, Best solution: 1427069 found at 3s
Seconds: 4, Iteration: 160, Iteration per second: 40.000000, Best solution: 1428903 found at 4s
Seconds: 4, Iteration: 170, Iteration per second: 42.500000, Best solution: 1432918 found at 4s
Seconds: 4, Iteration: 180, Iteration per second: 45.000000, Best solution: 1432918 found at 4s
Seconds: 4, Iteration: 190, Iteration per second: 47.500000, Best solution: 1433531 found at 4s
Seconds: 4, Iteration: 200, Iteration per second: 50.000000, Best solution: 1434658 found at 4s
Seconds: 4, Iteration: 210, Iteration per second: 52.500000, Best solution: 1442300 found at 4s
Seconds: 4, Iteration: 220, Iteration per second: 55.000000, Best solution: 1443816 found at 4s
Seconds: 5, Iteration: 230, Iteration per second: 46.000000, Best solution: 1443816 found at 4s
Seconds: 5, Iteration: 240, Iteration per second: 48.000000, Best solution: 1448325 found at 5s
Seconds: 5, Iteration: 250, Iteration per second: 50.000000, Best solution: 1448325 found at 5s
Seconds: 5, Iteration: 260, Iteration per second: 52.000000, Best solution: 1450036 found at 5s
Seconds: 5, Iteration: 270, Iteration per second: 54.000000, Best solution: 1454629 found at 5s
Seconds: 5, Iteration: 280, Iteration per second: 56.000000, Best solution: 1454629 found at 5s
Seconds: 5, Iteration: 290, Iteration per second: 58.000000, Best solution: 1454629 found at 5s
Seconds: 6, Iteration: 300, Iteration per second: 50.000000, Best solution: 1460963 found at 5s
Seconds: 6, Iteration: 310, Iteration per second: 51.666667, Best solution: 1466078 found at 6s
Seconds: 6, Iteration: 320, Iteration per second: 53.333333, Best solution: 1468020 found at 6s
Seconds: 6, Iteration: 330, Iteration per second: 55.000000, Best solution: 1471588 found at 6s
Seconds: 6, Iteration: 340, Iteration per second: 56.666667, Best solution: 1471588 found at 6s
Seconds: 6, Iteration: 350, Iteration per second: 58.333333, Best solution: 1475251 found at 6s
